project, sha, language, file_name, is_test,isExceptionPatch, method_name,total_add,total_del,while Adds,catch Dels,try Adds,try Dels,exception Dels,raise Adds,catch Adds,finally Dels,finally Adds,throw  Adds,for Dels,throw  Dels,for Adds,while Dels,exception Adds,raise Dels
'AndEngine','dfbf4615fc6682a5663b4095b0d34eac60d61efd','java','src/org/andengine/audio/sound/SoundFactory.java','False','False','createSoundFromPath','1','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0'
'AndEngine','dfbf4615fc6682a5663b4095b0d34eac60d61efd','java','src/org/andengine/audio/sound/SoundFactory.java','False','False','createSoundFromFile','1','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0'
'AndEngine','dfbf4615fc6682a5663b4095b0d34eac60d61efd','java','src/org/andengine/audio/sound/SoundFactory.java','False','False','createSoundFromFileDescriptor','1','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0'
'AndEngine','dfbf4615fc6682a5663b4095b0d34eac60d61efd','java','src/org/andengine/engine/Engine.java','False','False','enableAccelerationSensor','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'AndEngine','dfbf4615fc6682a5663b4095b0d34eac60d61efd','java','src/org/andengine/engine/Engine.java','False','False','disableAccelerationSensor','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'AndEngine','dfbf4615fc6682a5663b4095b0d34eac60d61efd','java','src/org/andengine/engine/Engine.java','False','False','enableOrientationSensor','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'AndEngine','dfbf4615fc6682a5663b4095b0d34eac60d61efd','java','src/org/andengine/engine/Engine.java','False','False','disableOrientationSensor','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'AndEngine','dfbf4615fc6682a5663b4095b0d34eac60d61efd','java','src/org/andengine/engine/Engine.java','False','False','isSensorSupported','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'AndEngine','dfbf4615fc6682a5663b4095b0d34eac60d61efd','java','src/org/andengine/engine/camera/Camera.java','False','False','onApplySceneMatrix','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'AndEngine','dfbf4615fc6682a5663b4095b0d34eac60d61efd','java','src/org/andengine/engine/camera/Camera.java','False','False','onApplySceneBackgroundMatrix','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'AndEngine','dfbf4615fc6682a5663b4095b0d34eac60d61efd','java','src/org/andengine/engine/camera/Camera.java','False','False','onApplyCameraSceneMatrix','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'AndEngine','dfbf4615fc6682a5663b4095b0d34eac60d61efd','java','src/org/andengine/engine/camera/Camera.java','False','False','applyRotation','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'AndEngine','dfbf4615fc6682a5663b4095b0d34eac60d61efd','java','src/org/andengine/engine/camera/hud/controls/DigitalOnScreenControl.java','False','False','onUpdateControlKnob','8','8','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'AndEngine','dfbf4615fc6682a5663b4095b0d34eac60d61efd','java','src/org/andengine/engine/camera/hud/controls/DigitalOnScreenControl.java','False','False','testDiagonalAngle','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'AndEngine','dfbf4615fc6682a5663b4095b0d34eac60d61efd','java','src/org/andengine/entity/particle/ParticleSystem.java','False','False','ParticleSystem','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'AndEngine','dfbf4615fc6682a5663b4095b0d34eac60d61efd','java','src/org/andengine/input/touch/controller/MultiTouchController.java','False','False','onHandleTouchAction','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
