project, sha, language, file_name, is_test,isExceptionPatch, method_name,total_add,total_del,while Adds,catch Dels,try Adds,try Dels,exception Dels,raise Adds,catch Adds,finally Dels,finally Adds,throw  Adds,for Dels,throw  Dels,for Adds,while Dels,exception Adds,raise Dels
'Arduino','66faf5d6c600127066b178e959c7a00f3ac6c31e','java','app/src/processing/app/Editor.java','False','False','applyPreferences','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'Arduino','66faf5d6c600127066b178e959c7a00f3ac6c31e','java','app/src/processing/app/syntax/JEditTextArea.java','False','False','JEditTextArea','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'Arduino','66faf5d6c600127066b178e959c7a00f3ac6c31e','java','app/src/processing/app/syntax/JEditTextArea.java','False','False','updateLineNumbers','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'Arduino','66faf5d6c600127066b178e959c7a00f3ac6c31e','java','app/src/processing/app/syntax/JEditTextArea.java','False','False','getLineCount','4','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'Arduino','66faf5d6c600127066b178e959c7a00f3ac6c31e','java','app/src/processing/app/syntax/JEditTextArea.java','False','False','setLineNumbersFont','0','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'Arduino','a2111fdcf666392d549916c3ff4b8d7607c66251','java','app/src/processing/app/Editor.java','False','False','applyPreferences','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'Arduino','a2111fdcf666392d549916c3ff4b8d7607c66251','java','app/src/processing/app/Preferences.java','False','False','Preferences','9','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'Arduino','a2111fdcf666392d549916c3ff4b8d7607c66251','java','app/src/processing/app/Preferences.java','False','False','applyFrame','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'Arduino','a2111fdcf666392d549916c3ff4b8d7607c66251','java','app/src/processing/app/Preferences.java','False','False','showFrame','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'Arduino','a2111fdcf666392d549916c3ff4b8d7607c66251','java','app/src/processing/app/syntax/JEditTextArea.java','False','False','JEditTextArea','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'Arduino','a2111fdcf666392d549916c3ff4b8d7607c66251','java','app/src/processing/app/syntax/JEditTextArea.java','False','False','setDisplayLineNumbers','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'Arduino','a2111fdcf666392d549916c3ff4b8d7607c66251','java','app/src/processing/app/syntax/JEditTextArea.java','False','False','setLineNumbersFont','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'Arduino','29856fff53dda02118feef69aa0383fc2610683f','java','app/src/processing/app/Base.java','False','False','getDefaultSketchbookFolder','36','10','1','0','2','1','49','4','4','4','4','0','0','0','0','0','0','0'
'Arduino','1cdf75d4df368cbb83cb0cd2092aaeaaf27e7c79','java','app/src/processing/app/Base.java','False','False','rebuildImportMenu','1','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'Arduino','1cdf75d4df368cbb83cb0cd2092aaeaaf27e7c79','java','app/src/processing/app/Base.java','False','False','actionPerformed','5','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'Arduino','1cdf75d4df368cbb83cb0cd2092aaeaaf27e7c79','java','app/src/processing/app/Base.java','False','False','rebuildBoardsMenu','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'Arduino','8eab20516656e445843850febaad87893897f938','java','app/src/processing/app/Base.java','False','False','getDefaultSketchbookFolder','29','10','0','0','1','0','3','1','5','0','0','0','0','0','0','0','0','0'
'Arduino','8eab20516656e445843850febaad87893897f938','java','app/src/processing/app/Editor.java','False','False','buildSketchMenu','2','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
