project, sha, language, file_name, is_test,isExceptionPatch, method_name,total_add,total_del,while Adds,catch Dels,try Adds,try Dels,exception Dels,raise Adds,catch Adds,finally Dels,finally Adds,throw  Adds,for Dels,throw  Dels,for Adds,while Dels,exception Adds,raise Dels
'CraftBukkit','b33d67f1f914f48dee03a9c9dd328f6a13cb0b3d','java','src/main/java/net/minecraft/server/RecipesFurnace.java','False','False','getResult','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'CraftBukkit','80e069d9d556e59771f6a7d0fb6050dcf6c86f06','java','src/main/java/net/minecraft/server/StatisticManager.java','False','False','b','6','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'CraftBukkit','80e069d9d556e59771f6a7d0fb6050dcf6c86f06','java','src/main/java/org/bukkit/craftbukkit/entity/CraftPlayer.java','False','False','awardAchievement','7','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'CraftBukkit','80e069d9d556e59771f6a7d0fb6050dcf6c86f06','java','src/main/java/org/bukkit/craftbukkit/entity/CraftPlayer.java','False','False','removeAchievement','9','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','6','0'
'CraftBukkit','80e069d9d556e59771f6a7d0fb6050dcf6c86f06','java','src/main/java/org/bukkit/craftbukkit/entity/CraftPlayer.java','False','False','hasAchievement','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'CraftBukkit','80e069d9d556e59771f6a7d0fb6050dcf6c86f06','java','src/main/java/org/bukkit/craftbukkit/entity/CraftPlayer.java','False','False','decrementStatistic','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'CraftBukkit','80e069d9d556e59771f6a7d0fb6050dcf6c86f06','java','src/main/java/org/bukkit/craftbukkit/entity/CraftPlayer.java','False','False','getStatistic','5','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'CraftBukkit','80e069d9d556e59771f6a7d0fb6050dcf6c86f06','java','src/main/java/org/bukkit/craftbukkit/entity/CraftPlayer.java','False','False','incrementStatistic','3','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'CraftBukkit','80e069d9d556e59771f6a7d0fb6050dcf6c86f06','java','src/main/java/org/bukkit/craftbukkit/entity/CraftPlayer.java','False','False','decrementStatistic','4','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'CraftBukkit','80e069d9d556e59771f6a7d0fb6050dcf6c86f06','java','src/main/java/org/bukkit/craftbukkit/entity/CraftPlayer.java','False','False','setStatistic','6','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'CraftBukkit','80e069d9d556e59771f6a7d0fb6050dcf6c86f06','java','src/main/java/org/bukkit/craftbukkit/entity/CraftPlayer.java','False','False','decrementStatistic','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'CraftBukkit','80e069d9d556e59771f6a7d0fb6050dcf6c86f06','java','src/main/java/org/bukkit/craftbukkit/entity/CraftPlayer.java','False','False','getStatistic','8','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'CraftBukkit','80e069d9d556e59771f6a7d0fb6050dcf6c86f06','java','src/main/java/org/bukkit/craftbukkit/entity/CraftPlayer.java','False','False','incrementStatistic','3','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
