project, sha, language, file_name, is_test,isExceptionPatch, method_name,total_add,total_del,while Adds,catch Dels,try Adds,try Dels,exception Dels,raise Adds,catch Adds,finally Dels,finally Adds,throw  Adds,for Dels,throw  Dels,for Adds,while Dels,exception Adds,raise Dels
'Hysterix','770d6a74c6a83e83dfbb5a87364d36eac7858c6a','java','hystrix-core/src/main/java/com/netflix/hystrix/HystrixCommand.java','False','False','toObservable','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'Hysterix','770d6a74c6a83e83dfbb5a87364d36eac7858c6a','java','hystrix-core/src/main/java/com/netflix/hystrix/strategy/concurrency/HystrixContextFunc2.java','False','False','call','1','1','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0'
'Hysterix','770d6a74c6a83e83dfbb5a87364d36eac7858c6a','java','hystrix-core/src/main/java/com/netflix/hystrix/strategy/concurrency/HystrixContextFunc2.java','False','False','call','9','0','1','0','2','0','5','0','3','0','0','0','0','0','0','0','0','0'
'Hysterix','5b900da0604059f8ec3f01081a89b7343e7e89ee','java','hystrix-core/src/main/java/com/netflix/hystrix/HystrixCommand.java','False','False','toObservable','6','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'Hysterix','00f6c0e08b039dad59a7b5d7f334e6f37d9e7201','java','hystrix-core/src/main/java/com/netflix/hystrix/HystrixCommand.java','False','False','toObservable','2','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'Hysterix','00f6c0e08b039dad59a7b5d7f334e6f37d9e7201','java','hystrix-core/src/main/java/com/netflix/hystrix/HystrixCommand.java','False','False','call','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'Hysterix','00f6c0e08b039dad59a7b5d7f334e6f37d9e7201','java','hystrix-core/src/main/java/com/netflix/hystrix/HystrixCommand.java','False','False','call','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'Hysterix','00f6c0e08b039dad59a7b5d7f334e6f37d9e7201','java','hystrix-core/src/main/java/com/netflix/hystrix/HystrixCommand.java','False','False','call','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'Hysterix','00f6c0e08b039dad59a7b5d7f334e6f37d9e7201','java','hystrix-core/src/main/java/com/netflix/hystrix/HystrixCommand.java','False','False','TimeoutObservable','2','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'Hysterix','00f6c0e08b039dad59a7b5d7f334e6f37d9e7201','java','hystrix-core/src/main/java/com/netflix/hystrix/HystrixCommand.java','False','False','subscribeWithSemaphoreIsolation','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'Hysterix','00f6c0e08b039dad59a7b5d7f334e6f37d9e7201','java','hystrix-core/src/main/java/com/netflix/hystrix/HystrixCommand.java','False','False','subscribeWithThreadIsolation','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'Hysterix','00f6c0e08b039dad59a7b5d7f334e6f37d9e7201','java','hystrix-core/src/main/java/com/netflix/hystrix/HystrixCommand.java','False','False','testObserveOnScheduler','2','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'Hysterix','00f6c0e08b039dad59a7b5d7f334e6f37d9e7201','java','hystrix-core/src/main/java/com/netflix/hystrix/HystrixRequestCache.java','False','False','TestObservable','2','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'Hysterix','71985abbfadaaa4b4f6c853c9bed8376a0c12e4e','java','hystrix-core/src/main/java/com/netflix/hystrix/HystrixCollapser.java','False','False','testVoidResponseTypeFireAndForgetCollapsing1','15','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0'
'Hysterix','71985abbfadaaa4b4f6c853c9bed8376a0c12e4e','java','hystrix-core/src/main/java/com/netflix/hystrix/HystrixCollapser.java','False','False','testVoidResponseTypeFireAndForgetCollapsing2','18','0','0','0','2','0','4','0','3','0','0','0','0','0','0','0','0','0'
'Hysterix','71985abbfadaaa4b4f6c853c9bed8376a0c12e4e','java','hystrix-core/src/main/java/com/netflix/hystrix/HystrixCollapser.java','False','False','FireAndForgetCommand','5','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'Hysterix','71985abbfadaaa4b4f6c853c9bed8376a0c12e4e','java','hystrix-core/src/main/java/com/netflix/hystrix/HystrixCollapser.java','False','False','run','4','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0'
'Hysterix','71985abbfadaaa4b4f6c853c9bed8376a0c12e4e','java','hystrix-core/src/main/java/com/netflix/hystrix/HystrixCollapser.java','False','False','TestCollapserWithVoidResponseType','5','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'Hysterix','71985abbfadaaa4b4f6c853c9bed8376a0c12e4e','java','hystrix-core/src/main/java/com/netflix/hystrix/HystrixCollapser.java','False','False','getRequestArgument','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'Hysterix','71985abbfadaaa4b4f6c853c9bed8376a0c12e4e','java','hystrix-core/src/main/java/com/netflix/hystrix/HystrixCollapser.java','False','False','createCommand','8','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','3','0'
'Hysterix','71985abbfadaaa4b4f6c853c9bed8376a0c12e4e','java','hystrix-core/src/main/java/com/netflix/hystrix/HystrixCollapser.java','False','False','mapResponseToRequests','6','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','3','0'
'Hysterix','71985abbfadaaa4b4f6c853c9bed8376a0c12e4e','java','hystrix-core/src/main/java/com/netflix/hystrix/HystrixCollapser.java','False','False','TestCollapserWithVoidResponseTypeAndMissingMapResponseToRequests','5','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'Hysterix','71985abbfadaaa4b4f6c853c9bed8376a0c12e4e','java','hystrix-core/src/main/java/com/netflix/hystrix/HystrixCollapser.java','False','False','getRequestArgument','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'Hysterix','71985abbfadaaa4b4f6c853c9bed8376a0c12e4e','java','hystrix-core/src/main/java/com/netflix/hystrix/HystrixCollapser.java','False','False','createCommand','8','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','3','0'
