project, sha, language, file_name, is_test,isExceptionPatch, method_name,total_add,total_del,while Adds,catch Dels,try Adds,try Dels,exception Dels,raise Adds,catch Adds,finally Dels,finally Adds,throw  Adds,for Dels,throw  Dels,for Adds,while Dels,exception Adds,raise Dels
'NineOldAndroids','da9dd5ca0c487b5e81290ed6052a36b74d70768e','java','library/src/com/nineoldandroids/view/animation/AnimatorProxy.java','False','False','transformMatrix','3','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'NineOldAndroids','cfcee0bee888102ace06db1f326d8c0dc5d39b8c','java','library/src/com/nineoldandroids/view/ViewHelper.java','False','False','setPivotX','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'NineOldAndroids','cfcee0bee888102ace06db1f326d8c0dc5d39b8c','java','library/src/com/nineoldandroids/view/ViewHelper.java','False','False','invoke','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'NineOldAndroids','cfcee0bee888102ace06db1f326d8c0dc5d39b8c','java','library/src/com/nineoldandroids/view/ViewHelper.java','False','False','setAlpha','3','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'NineOldAndroids','cfcee0bee888102ace06db1f326d8c0dc5d39b8c','java','library/src/com/nineoldandroids/view/ViewHelper.java','False','False','setPivotY','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'NineOldAndroids','cfcee0bee888102ace06db1f326d8c0dc5d39b8c','java','library/src/com/nineoldandroids/view/ViewHelper.java','False','False','invoke','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'NineOldAndroids','cfcee0bee888102ace06db1f326d8c0dc5d39b8c','java','library/src/com/nineoldandroids/view/ViewHelper.java','False','False','getPivotX','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'NineOldAndroids','cfcee0bee888102ace06db1f326d8c0dc5d39b8c','java','library/src/com/nineoldandroids/view/ViewHelper.java','False','False','invoke','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'NineOldAndroids','cfcee0bee888102ace06db1f326d8c0dc5d39b8c','java','library/src/com/nineoldandroids/view/ViewHelper.java','False','False','setPivotX','3','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'NineOldAndroids','cfcee0bee888102ace06db1f326d8c0dc5d39b8c','java','library/src/com/nineoldandroids/view/ViewHelper.java','False','False','getPivotY','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'NineOldAndroids','cfcee0bee888102ace06db1f326d8c0dc5d39b8c','java','library/src/com/nineoldandroids/view/ViewHelper.java','False','False','invoke','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'NineOldAndroids','cfcee0bee888102ace06db1f326d8c0dc5d39b8c','java','library/src/com/nineoldandroids/view/ViewHelper.java','False','False','setPivotY','7','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'NineOldAndroids','cfcee0bee888102ace06db1f326d8c0dc5d39b8c','java','library/src/com/nineoldandroids/view/ViewHelper.java','False','False','getRotation','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'NineOldAndroids','cfcee0bee888102ace06db1f326d8c0dc5d39b8c','java','library/src/com/nineoldandroids/view/ViewHelper.java','False','False','invoke','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'NineOldAndroids','cfcee0bee888102ace06db1f326d8c0dc5d39b8c','java','library/src/com/nineoldandroids/view/ViewHelper.java','False','False','setRotation','7','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'NineOldAndroids','cfcee0bee888102ace06db1f326d8c0dc5d39b8c','java','library/src/com/nineoldandroids/view/ViewHelper.java','False','False','invoke','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'NineOldAndroids','cfcee0bee888102ace06db1f326d8c0dc5d39b8c','java','library/src/com/nineoldandroids/view/ViewHelper.java','False','False','setRotationX','7','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'NineOldAndroids','cfcee0bee888102ace06db1f326d8c0dc5d39b8c','java','library/src/com/nineoldandroids/view/ViewHelper.java','False','False','invoke','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'NineOldAndroids','cfcee0bee888102ace06db1f326d8c0dc5d39b8c','java','library/src/com/nineoldandroids/view/ViewHelper.java','False','False','setRotationY','7','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'NineOldAndroids','cfcee0bee888102ace06db1f326d8c0dc5d39b8c','java','library/src/com/nineoldandroids/view/ViewHelper.java','False','False','invoke','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'NineOldAndroids','cfcee0bee888102ace06db1f326d8c0dc5d39b8c','java','library/src/com/nineoldandroids/view/ViewHelper.java','False','False','setScaleX','7','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'NineOldAndroids','cfcee0bee888102ace06db1f326d8c0dc5d39b8c','java','library/src/com/nineoldandroids/view/ViewHelper.java','False','False','invoke','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'NineOldAndroids','cfcee0bee888102ace06db1f326d8c0dc5d39b8c','java','library/src/com/nineoldandroids/view/ViewHelper.java','False','False','setScaleY','7','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'NineOldAndroids','cfcee0bee888102ace06db1f326d8c0dc5d39b8c','java','library/src/com/nineoldandroids/view/ViewHelper.java','False','False','invoke','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'NineOldAndroids','cfcee0bee888102ace06db1f326d8c0dc5d39b8c','java','library/src/com/nineoldandroids/view/ViewHelper.java','False','False','setScrollX','7','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'NineOldAndroids','cfcee0bee888102ace06db1f326d8c0dc5d39b8c','java','library/src/com/nineoldandroids/view/ViewHelper.java','False','False','invoke','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'NineOldAndroids','cfcee0bee888102ace06db1f326d8c0dc5d39b8c','java','library/src/com/nineoldandroids/view/ViewHelper.java','False','False','setScrollY','7','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'NineOldAndroids','cfcee0bee888102ace06db1f326d8c0dc5d39b8c','java','library/src/com/nineoldandroids/view/ViewHelper.java','False','False','invoke','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'NineOldAndroids','cfcee0bee888102ace06db1f326d8c0dc5d39b8c','java','library/src/com/nineoldandroids/view/ViewHelper.java','False','False','setTranslationX','7','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'NineOldAndroids','cfcee0bee888102ace06db1f326d8c0dc5d39b8c','java','library/src/com/nineoldandroids/view/ViewHelper.java','False','False','invoke','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
