project, sha, language, file_name, is_test,isExceptionPatch, method_name,total_add,total_del,while Adds,catch Dels,try Adds,try Dels,exception Dels,raise Adds,catch Adds,finally Dels,finally Adds,throw  Adds,for Dels,throw  Dels,for Adds,while Dels,exception Adds,raise Dels
'RxJava','5ec11c3529c79e3badbbee75f1e391af223a8b7a','java','rxjava-contrib/rxjava-android/src/test/java/rx/android/operators/OperationObserveFromAndroidComponentTest.java','True','False','NO_FUNC_CONTEXT','0','0','0','0','1','0'
'RxJava','5ec11c3529c79e3badbbee75f1e391af223a8b7a','java','rxjava-contrib/rxjava-android/src/test/java/rx/android/operators/OperationObserveFromAndroidComponentTest.java','True','False','itThrowsIfObserverSubscribesFromBackgroundThread','2','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'RxJava','5ec11c3529c79e3badbbee75f1e391af223a8b7a','java','rxjava-contrib/rxjava-android/src/test/java/rx/android/operators/OperationObserveFromAndroidComponentTest.java','True','False','itObservesTheSourceSequenceOnTheMainUIThread','35','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'RxJava','5ec11c3529c79e3badbbee75f1e391af223a8b7a','java','rxjava-contrib/rxjava-android/src/test/java/rx/android/operators/OperationObserveFromAndroidComponentTest.java','True','False','itUnsubscribesFromTheSourceSequence','13','5','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'RxJava','5ec11c3529c79e3badbbee75f1e391af223a8b7a','java','rxjava-contrib/rxjava-android/src/test/java/rx/android/operators/OperationObserveFromAndroidComponentTest.java','True','False','NO_FUNC_CONTEXT','0','0','0','0','0','1'
'RxJava','5ec11c3529c79e3badbbee75f1e391af223a8b7a','java','rxjava-core/src/main/java/rx/Observable.java','False','False','average','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'RxJava','5ec11c3529c79e3badbbee75f1e391af223a8b7a','java','rxjava-core/src/main/java/rx/Observable.java','False','False','averageDouble','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'RxJava','5ec11c3529c79e3badbbee75f1e391af223a8b7a','java','rxjava-core/src/main/java/rx/Observable.java','False','False','averageFloat','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'RxJava','5ec11c3529c79e3badbbee75f1e391af223a8b7a','java','rxjava-core/src/main/java/rx/Observable.java','False','False','averageInteger','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'RxJava','5ec11c3529c79e3badbbee75f1e391af223a8b7a','java','rxjava-core/src/main/java/rx/Observable.java','False','False','averageLong','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'RxJava','5ec11c3529c79e3badbbee75f1e391af223a8b7a','java','rxjava-core/src/main/java/rx/Observable.java','False','False','create','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'RxJava','5ec11c3529c79e3badbbee75f1e391af223a8b7a','java','rxjava-core/src/main/java/rx/Observable.java','False','False','empty','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'RxJava','5ec11c3529c79e3badbbee75f1e391af223a8b7a','java','rxjava-core/src/main/java/rx/Observable.java','False','False','empty','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
