project, sha, language, file_name, is_test,isExceptionPatch, method_name,total_add,total_del,while Adds,catch Dels,try Adds,try Dels,exception Dels,raise Adds,catch Adds,finally Dels,finally Adds,throw  Adds,for Dels,throw  Dels,for Adds,while Dels,exception Adds,raise Dels
'SlidingMenu','d929476bee721e295f7e73d7395e29ca090c122b','java','library/src/com/jeremyfeinstein/slidingmenu/lib/CustomViewAbove.java','False','False','onTouchEvent','0','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'SlidingMenu','d929476bee721e295f7e73d7395e29ca090c122b','java','library/src/com/jeremyfeinstein/slidingmenu/lib/CustomViewAbove.java','False','False','determineDrag','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'SlidingMenu','32a8ac714b192b6c31876d191ed17c3fccc69c64','java','library/src/com/slidingmenu/lib/CustomViewAbove.java','False','False','initCustomViewAbove','2','4','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'SlidingMenu','32a8ac714b192b6c31876d191ed17c3fccc69c64','java','library/src/com/slidingmenu/lib/CustomViewAbove.java','False','False','setContent','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'SlidingMenu','32a8ac714b192b6c31876d191ed17c3fccc69c64','java','library/src/com/slidingmenu/lib/CustomViewAbove.java','False','False','onTouchEvent','4','4','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'SlidingMenu','fa64e7aa52f1be9d2e9e051396f90197f4da7639','java','library/src/com/slidingmenu/lib/CustomViewAbove.java','False','False','initCustomViewAbove','4','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'SlidingMenu','fa64e7aa52f1be9d2e9e051396f90197f4da7639','java','library/src/com/slidingmenu/lib/CustomViewAbove.java','False','False','setContent','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'SlidingMenu','fa64e7aa52f1be9d2e9e051396f90197f4da7639','java','library/src/com/slidingmenu/lib/CustomViewAbove.java','False','False','onInterceptTouchEvent','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'SlidingMenu','fa64e7aa52f1be9d2e9e051396f90197f4da7639','java','library/src/com/slidingmenu/lib/CustomViewAbove.java','False','False','onTouchEvent','3','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'SlidingMenu','fa64e7aa52f1be9d2e9e051396f90197f4da7639','java','library/src/com/slidingmenu/lib/CustomViewAbove.java','False','False','scrollTo','1','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
