project, sha, language, file_name, is_test,isExceptionPatch, method_name,total_add,total_del,while Adds,catch Dels,try Adds,try Dels,exception Dels,raise Adds,catch Adds,finally Dels,finally Adds,throw  Adds,for Dels,throw  Dels,for Adds,while Dels,exception Adds,raise Dels
'androidBootstrap','9067416920a2a9a000a77280010fdc580aaf06b1','java','AndroidBootstrap/src/com/beardedhen/androidbootstrap/BootstrapButton.java','False','False','initialise','27','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidBootstrap','9067416920a2a9a000a77280010fdc580aaf06b1','java','AndroidBootstrap/src/com/beardedhen/androidbootstrap/BootstrapButton.java','False','False','setTextGravity','10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidBootstrap','545eeb2796ef5580797f9b3edbbb0070b4d688eb','java','AndroidBootstrap/src/com/beardedhen/androidbootstrap/BootstrapThumbnail.java','False','False','setImage','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidBootstrap','545eeb2796ef5580797f9b3edbbb0070b4d688eb','java','AndroidBootstrap/src/com/beardedhen/androidbootstrap/BootstrapThumbnail.java','False','False','initialise','50','44','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidBootstrap','545eeb2796ef5580797f9b3edbbb0070b4d688eb','java','AndroidBootstrap/src/com/beardedhen/androidbootstrap/BootstrapThumbnail.java','False','False','readFont','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidBootstrap','0b27b2ab29ea4ad5fbeb8766b8d364bced1e067b','java','AndroidBootstrap/src/com/beardedhen/bbutton/BootstrapButton.java','False','False','initialise','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidBootstrap','36fbd30858f39fbdf7aa6ec865ec6b61be1f9f4c','java','AndroidBootstrap/src/com/beardedhen/bbutton/FontAwesomeText.java','False','False','initialise','3','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidBootstrap','36fbd30858f39fbdf7aa6ec865ec6b61be1f9f4c','java','AndroidBootstrap/src/com/beardedhen/bbutton/FontAwesomeText.java','False','False','startFlashing','40','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidBootstrap','36fbd30858f39fbdf7aa6ec865ec6b61be1f9f4c','java','AndroidBootstrap/src/com/beardedhen/bbutton/FontAwesomeText.java','False','False','startRotate','43','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidBootstrap','36fbd30858f39fbdf7aa6ec865ec6b61be1f9f4c','java','AndroidBootstrap/src/com/beardedhen/bbutton/FontAwesomeText.java','False','False','stopAnimation','4','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidBootstrap','36fbd30858f39fbdf7aa6ec865ec6b61be1f9f4c','java','AndroidBootstrapTest/src/com/beardedhen/bbuttontest/MainActivity.java','True','False','onCreate','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidBootstrap','36fbd30858f39fbdf7aa6ec865ec6b61be1f9f4c','java','AndroidBootstrapTest/src/com/beardedhen/bbuttontest/MainActivity.java','True','False','onCreate','14','4','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidBootstrap','36fbd30858f39fbdf7aa6ec865ec6b61be1f9f4c','java','AndroidBootstrapTest/src/com/beardedhen/bbuttontest/MainActivity.java','True','False','onCreate','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidBootstrap','36fbd30858f39fbdf7aa6ec865ec6b61be1f9f4c','java','AndroidBootstrapTest/src/com/beardedhen/bbuttontest/MainActivity.java','True','False','onCreate','14','4','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
