project, sha, language, file_name, is_test,isExceptionPatch, method_name,total_add,total_del,while Adds,catch Dels,try Adds,try Dels,exception Dels,raise Adds,catch Adds,finally Dels,finally Adds,throw  Adds,for Dels,throw  Dels,for Adds,while Dels,exception Adds,raise Dels
'android','9289ed6f25015909624fc27532dd4505518bb9c3','java','app/src/main/java/com/github/mobile/accounts/TwoFactorAuthActivity.java','False','False','handleLogin','3','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'android','d6ba3f9fe2d88967f56e9939d8df7547127416df','java','app/src/main/java/com/github/mobile/accounts/AccountAuthenticator.java','False','False','getAuthorization','1','1','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0'
'android','d6ba3f9fe2d88967f56e9939d8df7547127416df','java','app/src/main/java/com/github/mobile/accounts/AccountAuthenticator.java','False','False','createAuthorization','1','1','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0'
'android','d6ba3f9fe2d88967f56e9939d8df7547127416df','java','app/src/main/java/com/github/mobile/accounts/AccountAuthenticator.java','False','False','getAuthToken','2','3','0','0','0','0','2','2','0','0','0','0','0','0','0','0','0','0'
'android','d6ba3f9fe2d88967f56e9939d8df7547127416df','java','app/src/main/java/com/github/mobile/accounts/LoginActivity.java','False','False','NO_FUNC_CONTEXT','0','0','0','0','1','0'
'android','d6ba3f9fe2d88967f56e9939d8df7547127416df','java','app/src/main/java/com/github/mobile/accounts/LoginActivity.java','False','False','configureSyncFor','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'android','d6ba3f9fe2d88967f56e9939d8df7547127416df','java','app/src/main/java/com/github/mobile/accounts/LoginActivity.java','False','False','onCreate','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'android','d6ba3f9fe2d88967f56e9939d8df7547127416df','java','app/src/main/java/com/github/mobile/accounts/LoginActivity.java','False','False','handleLogin','14','8','0','0','2','0','3','0','7','0','0','0','0','0','0','0','0','0'
'android','d6ba3f9fe2d88967f56e9939d8df7547127416df','java','app/src/main/java/com/github/mobile/accounts/LoginActivity.java','False','False','onActivityResult','15','0','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0'
'android','d6ba3f9fe2d88967f56e9939d8df7547127416df','java','app/src/main/java/com/github/mobile/accounts/LoginActivity.java','False','False','sendSmsOtpCode','6','0','0','0','2','0','3','0','2','0','0','0','0','0','0','0','0','0'
'android','d6ba3f9fe2d88967f56e9939d8df7547127416df','java','app/src/main/java/com/github/mobile/accounts/LoginActivity.java','False','False','openTwoFactorAuthActivity','4','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'android','d6ba3f9fe2d88967f56e9939d8df7547127416df','java','app/src/main/java/com/github/mobile/accounts/LoginActivity.java','False','False','handleLoginException','6','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0'
'android','1487338611d0b680422f6822a10b6669dde1901b','java','app/src/main/java/com/github/mobile/ui/comment/CreateCommentActivity.java','False','False','onCreate','14','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'android','2cb52353538b4c2e4abe7db34f82bd7a02dcae81','java','app/src/main/java/com/github/mobile/ui/issue/IssueFragment.java','False','False','onCreate','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'android','2cb52353538b4c2e4abe7db34f82bd7a02dcae81','java','app/src/main/java/com/github/mobile/ui/issue/IssueFragment.java','False','False','onViewCreated','3','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'android','2cb52353538b4c2e4abe7db34f82bd7a02dcae81','java','app/src/main/java/com/github/mobile/ui/issue/IssuesPagerAdapter.java','False','False','IssuesPagerAdapter','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'android','2cb52353538b4c2e4abe7db34f82bd7a02dcae81','java','app/src/main/java/com/github/mobile/ui/issue/IssuesPagerAdapter.java','False','False','IssuesPagerAdapter','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'android','2cb52353538b4c2e4abe7db34f82bd7a02dcae81','java','app/src/main/java/com/github/mobile/ui/issue/IssuesPagerAdapter.java','False','False','getItem','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'android','8fd605af422d874401e300fec02b55c9b7193898','java','app/src/main/java/com/github/mobile/ui/issue/AssigneeDialog.java','False','False','getCollaborator','0','7','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'android','8fd605af422d874401e300fec02b55c9b7193898','java','app/src/main/java/com/github/mobile/ui/issue/LabelsDialog.java','False','False','getLabel','0','7','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'android','f7989066cd9b049bdb8feea65acb9d1b5509bcc4','java','app/src/main/java/com/github/mobile/ui/search/SearchUserListFragment.java','False','False','onCreateLoader','1','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'android','f7989066cd9b049bdb8feea65acb9d1b5509bcc4','java','app/src/main/java/com/github/mobile/ui/search/SearchUserListFragment.java','False','False','loadData','1','10','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0'
'android','f7989066cd9b049bdb8feea65acb9d1b5509bcc4','java','app/src/main/java/com/github/mobile/ui/search/SearchUserListFragment.java','False','False','createAdapter','1','4','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'android','f7989066cd9b049bdb8feea65acb9d1b5509bcc4','java','app/src/main/java/com/github/mobile/ui/search/SearchUserListFragment.java','False','False','onListItemClick','9','1','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0'
'android','a28ea550a643aa0831606c3e745d89c02de40b26','java','app/src/main/java/com/github/mobile/ServicesModule.java','False','False','searchUserService','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'android','852e83c8403ab6e7c917b3816c78b6275ac6aae1','java','app/src/main/java/com/github/mobile/ui/search/SearchActivity.java','False','False','onCreate','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'android','852e83c8403ab6e7c917b3816c78b6275ac6aae1','java','app/src/main/java/com/github/mobile/ui/search/SearchActivity.java','False','False','search','10','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'android','852e83c8403ab6e7c917b3816c78b6275ac6aae1','java','app/src/main/java/com/github/mobile/ui/search/SearchActivity.java','False','False','findFragments','9','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'android','852e83c8403ab6e7c917b3816c78b6275ac6aae1','java','app/src/main/java/com/github/mobile/ui/search/SearchRepositoryListFragment.java','False','False','setQuery','1','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'android','852e83c8403ab6e7c917b3816c78b6275ac6aae1','java','app/src/main/java/com/github/mobile/ui/search/SearchRepositoryListFragment.java','False','False','refresh','4','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'android','cde7df7cd807f84c06eb3c24bbf645670edbdf30','java','app/src/main/java/com/github/mobile/ui/search/SearchActivity.java','False','False','onCreate','10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
