project, sha, language, file_name, is_test,isExceptionPatch, method_name,total_add,total_del,while Adds,catch Dels,try Adds,try Dels,exception Dels,raise Adds,catch Adds,finally Dels,finally Adds,throw  Adds,for Dels,throw  Dels,for Adds,while Dels,exception Adds,raise Dels
'androidQuery','355ae572a6fe66b239117949bcf2a5b1e082c760','java','src/com/androidquery/callback/AbstractAjaxCallback.java','False','False','networkWork','2','0','0','0','0','0','0','0','2','0','0','0','0','0','0','0','0','0'
'androidQuery','355ae572a6fe66b239117949bcf2a5b1e082c760','java','src/com/androidquery/callback/AbstractAjaxCallback.java','False','False','httpDo','6','5','0','0','0','0','5','5','0','0','0','0','0','0','0','0','0','0'
'androidQuery','355ae572a6fe66b239117949bcf2a5b1e082c760','java','src/com/androidquery/callback/AbstractAjaxCallback.java','False','False','copy','1','1','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0'
'androidQuery','355ae572a6fe66b239117949bcf2a5b1e082c760','java','src/com/androidquery/callback/AbstractAjaxCallback.java','False','False','makeTempFile','5','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidQuery','355ae572a6fe66b239117949bcf2a5b1e082c760','java','src/com/androidquery/callback/AbstractAjaxCallback.java','False','False','copy','19','5','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidQuery','355ae572a6fe66b239117949bcf2a5b1e082c760','java','src/com/androidquery/callback/AbstractAjaxCallback.java','False','False','NO_FUNC_CONTEXT','0','0','1','0','1','0'
'androidQuery','355ae572a6fe66b239117949bcf2a5b1e082c760','java','src/com/androidquery/util/AQUtility.java','False','False','copy','10','0','1','0','2','0','0','0','0','0','0','0','0','0','9','0','0','0'
'androidQuery','355ae572a6fe66b239117949bcf2a5b1e082c760','java','src/com/androidquery/util/AQUtility.java','False','False','getExistedCacheByUrl','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidQuery','355ae572a6fe66b239117949bcf2a5b1e082c760','java','src/com/androidquery/util/AQUtility.java','False','False','NO_FUNC_CONTEXT','0','0','0','0','1','0'
'androidQuery','355ae572a6fe66b239117949bcf2a5b1e082c760','java','tests/src/com/androidquery/test/AQueryAsyncTest.java','True','False','testAjaxCache','9','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidQuery','355ae572a6fe66b239117949bcf2a5b1e082c760','java','tests/src/com/androidquery/test/AQueryAsyncTest.java','True','False','testIOError','43','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidQuery','355ae572a6fe66b239117949bcf2a5b1e082c760','java','tests/src/com/androidquery/test/AQueryImageTest.java','True','False','testIfModified','0','20','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidQuery','355ae572a6fe66b239117949bcf2a5b1e082c760','java','tests/src/com/androidquery/test/AQueryImageTest.java','True','False','testImageIOError','47','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidQuery','062abc7db1a56c54a6f81df84b5af78a38955d1e','java','src/com/androidquery/callback/AbstractAjaxCallback.java','False','False','httpDo','1','10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidQuery','062abc7db1a56c54a6f81df84b5af78a38955d1e','java','src/com/androidquery/callback/AbstractAjaxCallback.java','False','False','httpMulti','15','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidQuery','062abc7db1a56c54a6f81df84b5af78a38955d1e','java','tests/src/com/androidquery/test/AQueryAsyncTest.java','True','False','testAjaxProxy','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidQuery','062abc7db1a56c54a6f81df84b5af78a38955d1e','java','tests/src/com/androidquery/test/AQueryAsyncTest.java','True','False','testAjaxTransformErrorWontCache','2','17','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidQuery','062abc7db1a56c54a6f81df84b5af78a38955d1e','java','tests/src/com/androidquery/test/AQueryAsyncTest.java','True','False','testAjaxPostMultiWithProxy','38','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidQuery','062abc7db1a56c54a6f81df84b5af78a38955d1e','java','tests/src/com/androidquery/test/AQueryAsyncTest.java','True','False','testAjaxPostMultiWithProxyHandle','41','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidQuery','062abc7db1a56c54a6f81df84b5af78a38955d1e','java','tests/src/com/androidquery/test/BasicProxyHandle.java','True','False','isIntranet','12','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidQuery','c145c51cbbae4b2bb2787e398782fbd2bd56b297','java','src/com/androidquery/callback/AbstractAjaxCallback.java','False','False','callback','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidQuery','c145c51cbbae4b2bb2787e398782fbd2bd56b297','java','src/com/androidquery/callback/AbstractAjaxCallback.java','False','False','transform','0','14','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidQuery','c145c51cbbae4b2bb2787e398782fbd2bd56b297','java','src/com/androidquery/callback/AbstractAjaxCallback.java','False','False','filePut','9','1','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0'
'androidQuery','ccfd1c2c02d3e72510eb0c6e74c629ee962200fe','java','src/com/androidquery/callback/AbstractAjaxCallback.java','False','False','httpDo','12','2','0','0','0','0','9','2','0','0','0','0','0','0','0','0','0','0'
'androidQuery','2c6174af0037ae19161bac282395f1f748bbe071','java','src/com/androidquery/callback/BitmapAjaxCallback.java','False','False','transform','10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidQuery','da6e319f47508ddceb44072450a1621c4bfaf0bc','java','src/com/androidquery/callback/AbstractAjaxCallback.java','False','False','httpDo','3','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
