project, sha, language, file_name, is_test,isExceptionPatch, method_name,total_add,total_del,while Adds,catch Dels,try Adds,try Dels,exception Dels,raise Adds,catch Adds,finally Dels,finally Adds,throw  Adds,for Dels,throw  Dels,for Adds,while Dels,exception Adds,raise Dels
'androidSwipe','0540bb6d9649786eb00d447a344d4d297d89e849','java','swipelistview-sample/src/com/fortysevendeg/android/swipelistview/sample/activities/SwipeListViewExampleActivity.java','False','False','onCreate','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidSwipe','c99434692c0662d03005876dcfa20a44862f143d','java','src/main/java/com/fortysevendeg/android/swipelistview/SwipeListView.java','False','False','onChangeChoice','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidSwipe','c99434692c0662d03005876dcfa20a44862f143d','java','src/main/java/com/fortysevendeg/android/swipelistview/SwipeListView.java','False','False','onStartChoice','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidSwipe','c99434692c0662d03005876dcfa20a44862f143d','java','src/main/java/com/fortysevendeg/android/swipelistview/SwipeListView.java','False','False','onEndChoice','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidSwipe','c99434692c0662d03005876dcfa20a44862f143d','java','src/main/java/com/fortysevendeg/android/swipelistview/SwipeListView.java','False','False','onFirstItemList','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidSwipe','c99434692c0662d03005876dcfa20a44862f143d','java','src/main/java/com/fortysevendeg/android/swipelistview/SwipeListView.java','False','False','onLastItemList','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidSwipe','3b57fe27bc0cd71eff62fc7d49c078f54b3c1d3d','java','src/main/java/com/fortysevendeg/android/swipelistview/BaseSwipeListViewListener.java','False','False','onChangeChoice','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidSwipe','3b57fe27bc0cd71eff62fc7d49c078f54b3c1d3d','java','src/main/java/com/fortysevendeg/android/swipelistview/BaseSwipeListViewListener.java','False','False','onStartChoice','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidSwipe','3b57fe27bc0cd71eff62fc7d49c078f54b3c1d3d','java','src/main/java/com/fortysevendeg/android/swipelistview/BaseSwipeListViewListener.java','False','False','onEndChoice','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidSwipe','3b57fe27bc0cd71eff62fc7d49c078f54b3c1d3d','java','src/main/java/com/fortysevendeg/android/swipelistview/BaseSwipeListViewListener.java','False','False','onFirstItemList','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidSwipe','3b57fe27bc0cd71eff62fc7d49c078f54b3c1d3d','java','src/main/java/com/fortysevendeg/android/swipelistview/BaseSwipeListViewListener.java','False','False','onLastItemList','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidSwipe','3b57fe27bc0cd71eff62fc7d49c078f54b3c1d3d','java','src/main/java/com/fortysevendeg/android/swipelistview/SwipeListView.java','False','False','onChangeChoice','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidSwipe','3b57fe27bc0cd71eff62fc7d49c078f54b3c1d3d','java','src/main/java/com/fortysevendeg/android/swipelistview/SwipeListView.java','False','False','onStartChoice','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidSwipe','3b57fe27bc0cd71eff62fc7d49c078f54b3c1d3d','java','src/main/java/com/fortysevendeg/android/swipelistview/SwipeListView.java','False','False','onEndChoice','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidSwipe','3b57fe27bc0cd71eff62fc7d49c078f54b3c1d3d','java','src/main/java/com/fortysevendeg/android/swipelistview/SwipeListView.java','False','False','onFirstItemList','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidSwipe','3b57fe27bc0cd71eff62fc7d49c078f54b3c1d3d','java','src/main/java/com/fortysevendeg/android/swipelistview/SwipeListView.java','False','False','onLastItemList','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidSwipe','eb44713b2b1d0768965abc4b5d5a7f69d19f6fc7','java','src/main/java/com/fortysevendeg/android/swipelistview/SwipeListView.java','False','False','dismissSelected','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidSwipe','866b804a79e1e328e409ba9df40697a4665f8744','java','src/main/java/com/fortysevendeg/android/swipelistview/SwipeListView.java','False','False','onStartOpen','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidSwipe','866b804a79e1e328e409ba9df40697a4665f8744','java','src/main/java/com/fortysevendeg/android/swipelistview/SwipeListView.java','False','False','onStartClose','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidSwipe','866b804a79e1e328e409ba9df40697a4665f8744','java','src/main/java/com/fortysevendeg/android/swipelistview/SwipeListView.java','False','False','onClickFrontView','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidSwipe','866b804a79e1e328e409ba9df40697a4665f8744','java','src/main/java/com/fortysevendeg/android/swipelistview/SwipeListView.java','False','False','onClickBackView','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidSwipe','866b804a79e1e328e409ba9df40697a4665f8744','java','src/main/java/com/fortysevendeg/android/swipelistview/SwipeListView.java','False','False','onOpened','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidSwipe','866b804a79e1e328e409ba9df40697a4665f8744','java','src/main/java/com/fortysevendeg/android/swipelistview/SwipeListView.java','False','False','onClosed','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidSwipe','866b804a79e1e328e409ba9df40697a4665f8744','java','src/main/java/com/fortysevendeg/android/swipelistview/SwipeListView.java','False','False','onChangeChoice','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidSwipe','866b804a79e1e328e409ba9df40697a4665f8744','java','src/main/java/com/fortysevendeg/android/swipelistview/SwipeListView.java','False','False','onMove','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidSwipe','866b804a79e1e328e409ba9df40697a4665f8744','java','src/main/java/com/fortysevendeg/android/swipelistview/SwipeListView.java','False','False','changeSwipeMode','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidSwipe','c409a7fc3e119499a0f633434a3b8daffdbc1aed','java','src/main/java/com/fortysevendeg/android/swipelistview/BaseSwipeListViewListener.java','False','False','onChangeChoice','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidSwipe','c409a7fc3e119499a0f633434a3b8daffdbc1aed','java','src/main/java/com/fortysevendeg/android/swipelistview/BaseSwipeListViewListener.java','False','False','onStartChoice','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidSwipe','c409a7fc3e119499a0f633434a3b8daffdbc1aed','java','src/main/java/com/fortysevendeg/android/swipelistview/BaseSwipeListViewListener.java','False','False','onEndChoice','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidSwipe','c409a7fc3e119499a0f633434a3b8daffdbc1aed','java','src/main/java/com/fortysevendeg/android/swipelistview/BaseSwipeListViewListener.java','False','False','onFirstItemList','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidSwipe','c409a7fc3e119499a0f633434a3b8daffdbc1aed','java','src/main/java/com/fortysevendeg/android/swipelistview/BaseSwipeListViewListener.java','False','False','onLastItemList','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidSwipe','c409a7fc3e119499a0f633434a3b8daffdbc1aed','java','src/main/java/com/fortysevendeg/android/swipelistview/SwipeListView.java','False','False','init','6','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidSwipe','c409a7fc3e119499a0f633434a3b8daffdbc1aed','java','src/main/java/com/fortysevendeg/android/swipelistview/SwipeListView.java','False','False','recycle','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidSwipe','c409a7fc3e119499a0f633434a3b8daffdbc1aed','java','src/main/java/com/fortysevendeg/android/swipelistview/SwipeListView.java','False','False','isChecked','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidSwipe','c409a7fc3e119499a0f633434a3b8daffdbc1aed','java','src/main/java/com/fortysevendeg/android/swipelistview/SwipeListView.java','False','False','getPositionsSelected','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidSwipe','c409a7fc3e119499a0f633434a3b8daffdbc1aed','java','src/main/java/com/fortysevendeg/android/swipelistview/SwipeListView.java','False','False','getCountSelected','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidSwipe','c409a7fc3e119499a0f633434a3b8daffdbc1aed','java','src/main/java/com/fortysevendeg/android/swipelistview/SwipeListView.java','False','False','unselectedChoiceStates','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidSwipe','c409a7fc3e119499a0f633434a3b8daffdbc1aed','java','src/main/java/com/fortysevendeg/android/swipelistview/SwipeListView.java','False','False','dismiss','11','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidSwipe','c409a7fc3e119499a0f633434a3b8daffdbc1aed','java','src/main/java/com/fortysevendeg/android/swipelistview/SwipeListView.java','False','False','dismissSelected','19','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','9','0'
'androidSwipe','c409a7fc3e119499a0f633434a3b8daffdbc1aed','java','src/main/java/com/fortysevendeg/android/swipelistview/SwipeListView.java','False','False','onChangeChoice','5','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidSwipe','c409a7fc3e119499a0f633434a3b8daffdbc1aed','java','src/main/java/com/fortysevendeg/android/swipelistview/SwipeListView.java','False','False','onStartChoice','5','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidSwipe','c409a7fc3e119499a0f633434a3b8daffdbc1aed','java','src/main/java/com/fortysevendeg/android/swipelistview/SwipeListView.java','False','False','onEndChoice','5','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidSwipe','c409a7fc3e119499a0f633434a3b8daffdbc1aed','java','src/main/java/com/fortysevendeg/android/swipelistview/SwipeListView.java','False','False','onFirstItemList','5','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidSwipe','c409a7fc3e119499a0f633434a3b8daffdbc1aed','java','src/main/java/com/fortysevendeg/android/swipelistview/SwipeListView.java','False','False','onLastItemList','5','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidSwipe','acc567064892a39b3e59a9c5921c45348e41fe81','java','src/main/java/com/fortysevendeg/android/swipelistview/SwipeListView.java','False','False','setSwipeListViewListener','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidSwipe','acc567064892a39b3e59a9c5921c45348e41fe81','java','src/main/java/com/fortysevendeg/android/swipelistview/SwipeListView.java','False','False','onInterceptTouchEvent','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidSwipe','599ec3f20da344774623cf7e0f289404fe3d14da','java','src/main/java/com/fortysevendeg/android/swipelistview/SwipeListView.java','False','False','closeOpenedItems','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidSwipe','4f280e63087cac470198a0510d8abf966585ddc0','java','src/main/java/com/fortysevendeg/android/swipelistview/SwipeListView.java','False','False','SwipeListView','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
