project, sha, language, file_name, is_test,isExceptionPatch, method_name,total_add,total_del,while Adds,catch Dels,try Adds,try Dels,exception Dels,raise Adds,catch Adds,finally Dels,finally Adds,throw  Adds,for Dels,throw  Dels,for Adds,while Dels,exception Adds,raise Dels
'androidUniversal','2a39b211f16c1f760e31243117138b0c29878a42','java','library/src/com/nostra13/universalimageloader/core/DisplayImageOptions.java','False','False','getHandler','0','9','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0'
'androidUniversal','2a39b211f16c1f760e31243117138b0c29878a42','java','library/src/com/nostra13/universalimageloader/core/ImageLoader.java','False','False','displayImage','4','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidUniversal','2a39b211f16c1f760e31243117138b0c29878a42','java','library/src/com/nostra13/universalimageloader/core/ImageLoader.java','False','False','defineHandler','9','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidUniversal','2a39b211f16c1f760e31243117138b0c29878a42','java','library/src/com/nostra13/universalimageloader/core/ImageLoaderConfiguration.java','False','False','initEmptyFieldsWithDefaultValues','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidUniversal','2a39b211f16c1f760e31243117138b0c29878a42','java','library/src/com/nostra13/universalimageloader/core/LoadAndDisplayImageTask.java','False','False','run','1','5','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidUniversal','2a39b211f16c1f760e31243117138b0c29878a42','java','library/src/com/nostra13/universalimageloader/core/LoadAndDisplayImageTask.java','False','False','fireProgressEvent','3','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidUniversal','2a39b211f16c1f760e31243117138b0c29878a42','java','library/src/com/nostra13/universalimageloader/core/LoadAndDisplayImageTask.java','False','False','fireFailEvent','3','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidUniversal','2a39b211f16c1f760e31243117138b0c29878a42','java','library/src/com/nostra13/universalimageloader/core/LoadAndDisplayImageTask.java','False','False','fireCancelEvent','3','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidUniversal','2a39b211f16c1f760e31243117138b0c29878a42','java','library/src/com/nostra13/universalimageloader/core/LoadAndDisplayImageTask.java','False','False','runTask','9','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidUniversal','2a39b211f16c1f760e31243117138b0c29878a42','java','library/src/com/nostra13/universalimageloader/core/ProcessAndDisplayImageTask.java','False','False','run','5','7','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
