project, sha, language, file_name, is_test,isExceptionPatch, method_name,total_add,total_del,while Adds,catch Dels,try Adds,try Dels,exception Dels,raise Adds,catch Adds,finally Dels,finally Adds,throw  Adds,for Dels,throw  Dels,for Adds,while Dels,exception Adds,raise Dels
'androidViewPager','77d3bee1fdd8b33810fdc00347c4d6535f796bf2','java','library/src/com/viewpagerindicator/LinePageIndicator.java','False','False','LinePageIndicator','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidViewPager','77d3bee1fdd8b33810fdc00347c4d6535f796bf2','java','library/src/com/viewpagerindicator/TitlePageIndicator.java','False','False','TitlePageIndicator','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidViewPager','4573560b56a56cb86f0143198a16cee08c20b246','java','library/src/com/viewpagerindicator/TabPageIndicator.java','False','False','addTab','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidViewPager','4573560b56a56cb86f0143198a16cee08c20b246','java','library/src/com/viewpagerindicator/TabPageIndicator.java','False','False','notifyDataSetChanged','9','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','6','1'
'androidViewPager','4573560b56a56cb86f0143198a16cee08c20b246','java','sample/src/com/viewpagerindicator/sample/SampleTabsDefault.java','False','False','onCreate','5','5','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidViewPager','4573560b56a56cb86f0143198a16cee08c20b246','java','sample/src/com/viewpagerindicator/sample/SampleTabsDefault.java','False','False','getItem','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidViewPager','4573560b56a56cb86f0143198a16cee08c20b246','java','sample/src/com/viewpagerindicator/sample/SampleTabsDefault.java','False','False','getCount','1','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidViewPager','4573560b56a56cb86f0143198a16cee08c20b246','java','sample/src/com/viewpagerindicator/sample/SampleTabsDefault.java','False','False','getPageTitle','1','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidViewPager','0643658722e9c813b3ceef8e05d24153408d42c5','java','library/src/com/viewpagerindicator/IcsLinearLayout.java','False','False','IcsLinearLayout','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidViewPager','0643658722e9c813b3ceef8e05d24153408d42c5','java','library/src/com/viewpagerindicator/TabPageIndicator.java','False','False','TabPageIndicator','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidViewPager','16e2b5a17a8ff38f7a6e6094d344d8d465a81b6c','java','sample/src/com/viewpagerindicator/sample/SampleTitlesBottom.java','False','False','onCreate','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidViewPager','16e2b5a17a8ff38f7a6e6094d344d8d465a81b6c','java','sample/src/com/viewpagerindicator/sample/SampleTitlesCenterClickListener.java','False','False','onCreate','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidViewPager','16e2b5a17a8ff38f7a6e6094d344d8d465a81b6c','java','sample/src/com/viewpagerindicator/sample/SampleTitlesDefault.java','False','False','onCreate','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
