project, sha, language, file_name, is_test,isExceptionPatch, method_name,total_add,total_del,while Adds,catch Dels,try Adds,try Dels,exception Dels,raise Adds,catch Adds,finally Dels,finally Adds,throw  Adds,for Dels,throw  Dels,for Adds,while Dels,exception Adds,raise Dels
'androidannotations','eb80ac30d1870331bd9b4285511c0c4f5210737f','java','AndroidAnnotations/androidannotations/src/main/java/org/androidannotations/helper/APTCodeModelHelper.java','False','False','typeMirrorToJClass','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidannotations','eb80ac30d1870331bd9b4285511c0c4f5210737f','java','AndroidAnnotations/androidannotations/src/main/java/org/androidannotations/helper/APTCodeModelHelper.java','False','False','getActualTypes','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidannotations','eb80ac30d1870331bd9b4285511c0c4f5210737f','java','AndroidAnnotations/androidannotations/src/main/java/org/androidannotations/helper/APTCodeModelHelper.java','False','False','overrideAnnotatedMethod','4','10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','9'
'androidannotations','eb80ac30d1870331bd9b4285511c0c4f5210737f','java','AndroidAnnotations/androidannotations/src/main/java/org/androidannotations/holder/BaseGeneratedClassHolder.java','False','False','BaseGeneratedClassHolder','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidannotations','eb80ac30d1870331bd9b4285511c0c4f5210737f','java','AndroidAnnotations/androidannotations/src/main/java/org/androidannotations/holder/BaseGeneratedClassHolder.java','False','False','setGeneratedClass','2','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','1'
'androidannotations','eb80ac30d1870331bd9b4285511c0c4f5210737f','java','AndroidAnnotations/androidannotations/src/main/java/org/androidannotations/holder/EComponentWithViewSupportHolder.java','False','False','EComponentWithViewSupportHolder','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidannotations','44bce422fa008e0d5f8a3d8364e617f19eb8ec3a','java','AndroidAnnotations/androidannotations/src/main/java/org/androidannotations/helper/APTCodeModelHelper.java','False','False','removeBody','13','0','1','0','2','0','7','0','3','0','0','0','0','0','0','0','16','0'
'androidannotations','e7de0657d90443b172c5052063a0a7186f375740','java','AndroidAnnotations/androidannotations/src/main/java/org/androidannotations/helper/APTCodeModelHelper.java','False','False','overrideAnnotatedMethod','10','18','0','0','0','0','0','0','0','0','0','0','0','0','0','0','6','17'
'androidannotations','091888cd03fcb54a7c89e39fcfaa5e5f94f70abd','java','AndroidAnnotations/androidannotations/src/main/java/org/androidannotations/handler/BeanHandler.java','False','False','process','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'androidannotations','091888cd03fcb54a7c89e39fcfaa5e5f94f70abd','java','AndroidAnnotations/androidannotations/src/main/java/org/androidannotations/helper/APTCodeModelHelper.java','False','False','typeMirrorToJClass','9','4','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0'
