project, sha, language, file_name, is_test,isExceptionPatch, method_name,total_add,total_del,while Adds,catch Dels,try Adds,try Dels,exception Dels,raise Adds,catch Adds,finally Dels,finally Adds,throw  Adds,for Dels,throw  Dels,for Adds,while Dels,exception Adds,raise Dels
'atmosphere','b2b03c23b19619735d114bb2fdd52c69831d776e','java','modules/cpr/src/main/java/org/atmosphere/cpr/DefaultBroadcasterFactory.java','False','False','createBroadcaster','0','1','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0'
'atmosphere','b2b03c23b19619735d114bb2fdd52c69831d776e','java','modules/cpr/src/main/java/org/atmosphere/cpr/DefaultBroadcasterFactory.java','False','False','lookup','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'atmosphere','e53e773ef7131b9a7cd1cbdf319c2599109965fe','java','modules/cpr/src/main/java/org/atmosphere/cpr/DefaultAtmosphereResourceSessionFactory.java','False','False','toString','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'atmosphere','ed4f5596278bc98df6a4e8bd45774725fc477e26','java','modules/cpr/src/main/java/org/atmosphere/cpr/AtmosphereResourceSessionFactory.java','False','False','getSession','11','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'atmosphere','ed4f5596278bc98df6a4e8bd45774725fc477e26','java','modules/cpr/src/main/java/org/atmosphere/cpr/DefaultAtmosphereResourceSession.java','False','False','setAttribute','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'atmosphere','ed4f5596278bc98df6a4e8bd45774725fc477e26','java','modules/cpr/src/main/java/org/atmosphere/cpr/DefaultAtmosphereResourceSession.java','False','False','getAttribute','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'atmosphere','ed4f5596278bc98df6a4e8bd45774725fc477e26','java','modules/cpr/src/main/java/org/atmosphere/cpr/DefaultAtmosphereResourceSession.java','False','False','getAttributeNames','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'atmosphere','ed4f5596278bc98df6a4e8bd45774725fc477e26','java','modules/cpr/src/main/java/org/atmosphere/cpr/DefaultAtmosphereResourceSession.java','False','False','destroy','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'atmosphere','ed4f5596278bc98df6a4e8bd45774725fc477e26','java','modules/cpr/src/main/java/org/atmosphere/cpr/DefaultAtmosphereResourceSession.java','False','False','checkValid','5','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0'
'atmosphere','ed4f5596278bc98df6a4e8bd45774725fc477e26','java','modules/cpr/src/main/java/org/atmosphere/cpr/DefaultAtmosphereResourceSessionFactory.java','False','False','onDisconnect','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'atmosphere','ed4f5596278bc98df6a4e8bd45774725fc477e26','java','modules/cpr/src/main/java/org/atmosphere/cpr/DefaultAtmosphereResourceSessionFactory.java','False','False','toString','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'atmosphere','ed4f5596278bc98df6a4e8bd45774725fc477e26','java','modules/cpr/src/main/java/org/atmosphere/cpr/DefaultAtmosphereResourceSessionFactory.java','False','False','getSession','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'atmosphere','3c83596837972e7c5292147e563b5c7ab2ffdaea','java','modules/cpr/src/main/java/org/atmosphere/annotation/AtmosphereServiceProcessor.java','False','False','handle','1','2','0','0','0','0','1','2','0','0','0','0','0','0','0','0','0','0'
'atmosphere','3c83596837972e7c5292147e563b5c7ab2ffdaea','java','modules/cpr/src/main/java/org/atmosphere/annotation/ManagedServiceProcessor.java','False','False','handle','2','1','0','0','0','0','2','1','0','0','0','0','0','0','0','0','0','0'
'atmosphere','a148d980367d5a6f1a47dc8e1c153eb35d7e746d','java','modules/cpr/src/main/java/org/atmosphere/cpr/AtmosphereFramework.java','False','False','configureAtmosphereInterceptor','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1'
'atmosphere','7db8937f231517810572c94229051c0fbde98459','java','modules/cpr/src/main/java/org/atmosphere/cpr/AtmosphereResourceFactory.java','False','False','broadcasters','11','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','15','0'
'atmosphere','71f4e7b27274b0af5974aa8c28797eb88d47a09e','java','modules/cpr/src/main/java/org/atmosphere/cpr/AtmosphereFramework.java','False','False','configureQueryStringAsRequest','1','1','0','0','0','0','1','1','0','0','0','0','0','0','0','0','1','1'
'atmosphere','6a2db2951bdca1b7465ba29d39baa5020e0a432c','java','modules/cpr/src/main/java/org/atmosphere/container/JettyWebSocketUtil.java','False','False','getFactory','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'atmosphere','db1f9bfbab486d14775ff7e1522d531a7a471c81','java','modules/cpr/src/main/java/org/atmosphere/cpr/AtmosphereFramework.java','False','False','newClassInstance','1','2','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0'
'atmosphere','db1f9bfbab486d14775ff7e1522d531a7a471c81','java','modules/cpr/src/main/java/org/atmosphere/cpr/AtmosphereFramework.java','False','False','newClassInstance','1','2','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0'
'atmosphere','d4ec2ad6d43d1343b88bea3990a2d8c6e3cf9989','java','modules/cpr/src/main/java/org/atmosphere/annotation/AtmosphereServiceProcessor.java','False','False','handle','1','1','0','0','0','0','1','1','0','0','0','0','0','0','0','0','0','0'
'atmosphere','d4ec2ad6d43d1343b88bea3990a2d8c6e3cf9989','java','modules/cpr/src/main/java/org/atmosphere/annotation/ManagedServiceProcessor.java','False','False','handle','1','1','0','0','0','0','1','1','0','0','0','0','0','0','0','0','0','0'
'atmosphere','d4ec2ad6d43d1343b88bea3990a2d8c6e3cf9989','java','modules/cpr/src/main/java/org/atmosphere/annotation/MeteorServiceProcessor.java','False','False','handle','1','1','0','0','0','0','1','1','0','0','0','0','0','0','0','0','0','0'
'atmosphere','d4ec2ad6d43d1343b88bea3990a2d8c6e3cf9989','java','modules/cpr/src/main/java/org/atmosphere/config/managed/ManagedServiceInterceptor.java','False','False','mapAnnotatedService','1','1','0','0','0','0','1','1','0','0','0','0','0','0','0','0','0','0'
'atmosphere','d4ec2ad6d43d1343b88bea3990a2d8c6e3cf9989','java','modules/cpr/src/main/java/org/atmosphere/config/managed/MeteorServiceInterceptor.java','False','False','mapAnnotatedService','1','1','0','0','0','0','1','1','0','0','0','0','0','0','0','0','0','0'
'atmosphere','d4ec2ad6d43d1343b88bea3990a2d8c6e3cf9989','java','modules/cpr/src/main/java/org/atmosphere/cpr/AtmosphereFramework.java','False','False','detectSupportedFramework','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'atmosphere','d4ec2ad6d43d1343b88bea3990a2d8c6e3cf9989','java','modules/cpr/src/main/java/org/atmosphere/cpr/AtmosphereFramework.java','False','False','newClassInstance','1','1','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0'
'atmosphere','d4ec2ad6d43d1343b88bea3990a2d8c6e3cf9989','java','modules/cpr/src/main/java/org/atmosphere/cpr/AtmosphereObjectFactory.java','False','False','NO_FUNC_CONTEXT','0','0','0','0','1','1'
'atmosphere','0fc0be8ede1d4e789e62610ccfa1e1e809b08636','java','modules/cpr/src/main/java/org/atmosphere/annotation/AnnotationUtil.java','False','False','AtmosphereInterceptorAdapter','1','1','0','0','0','0','1','1','0','0','0','0','0','0','0','0','1','1'
'atmosphere','0fc0be8ede1d4e789e62610ccfa1e1e809b08636','java','modules/cpr/src/main/java/org/atmosphere/annotation/AsyncSupportListenerServiceProcessor.java','False','False','handle','1','1','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0'
