project, sha, language, file_name, is_test,isExceptionPatch, method_name,total_add,total_del,while Adds,catch Dels,try Adds,try Dels,exception Dels,raise Adds,catch Adds,finally Dels,finally Adds,throw  Adds,for Dels,throw  Dels,for Adds,while Dels,exception Adds,raise Dels
'clojure','ef2e762e21a817305314ed10bc33505bed6874a5','java','src/jvm/clojure/lang/APersistentVector.java','False','False','rangedIterator','17','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0'
'clojure','ef2e762e21a817305314ed10bc33505bed6874a5','java','src/jvm/clojure/lang/APersistentVector.java','False','False','iterator','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'clojure','ef2e762e21a817305314ed10bc33505bed6874a5','java','src/jvm/clojure/lang/APersistentVector.java','False','False','iterator','6','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'clojure','c8d3ef3929e8049a84957002bc7e2071844bfb53','java','src/jvm/clojure/asm/AnnotationVisitor.java','False','False','AnnotationVisitor','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'clojure','c8d3ef3929e8049a84957002bc7e2071844bfb53','java','src/jvm/clojure/asm/AnnotationVisitor.java','False','False','AnnotationVisitor','7','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0'
'clojure','c8d3ef3929e8049a84957002bc7e2071844bfb53','java','src/jvm/clojure/asm/AnnotationVisitor.java','False','False','visit','5','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'clojure','c8d3ef3929e8049a84957002bc7e2071844bfb53','java','src/jvm/clojure/asm/AnnotationVisitor.java','False','False','visitEnum','5','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'clojure','c8d3ef3929e8049a84957002bc7e2071844bfb53','java','src/jvm/clojure/asm/AnnotationVisitor.java','False','False','visitAnnotation','6','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'clojure','c8d3ef3929e8049a84957002bc7e2071844bfb53','java','src/jvm/clojure/asm/AnnotationVisitor.java','False','False','visitArray','6','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'clojure','c8d3ef3929e8049a84957002bc7e2071844bfb53','java','src/jvm/clojure/asm/AnnotationVisitor.java','False','False','visitEnd','5','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'clojure','c8d3ef3929e8049a84957002bc7e2071844bfb53','java','src/jvm/clojure/asm/AnnotationWriter.java','False','False','visit','24','62','0','0','0','0','0','0','0','0','0','0','0','0','0','0','8','0'
'clojure','c8d3ef3929e8049a84957002bc7e2071844bfb53','java','src/jvm/clojure/asm/AnnotationWriter.java','False','False','visitEnum','1','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'clojure','c8d3ef3929e8049a84957002bc7e2071844bfb53','java','src/jvm/clojure/asm/AnnotationWriter.java','False','False','visitAnnotation','1','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'clojure','c8d3ef3929e8049a84957002bc7e2071844bfb53','java','src/jvm/clojure/asm/AnnotationWriter.java','False','False','visitArray','1','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'clojure','c8d3ef3929e8049a84957002bc7e2071844bfb53','java','src/jvm/clojure/asm/AnnotationWriter.java','False','False','visitEnd','1','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'clojure','c8d3ef3929e8049a84957002bc7e2071844bfb53','java','src/jvm/clojure/asm/AnnotationWriter.java','False','False','getSize','1','2','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0'
'clojure','c8d3ef3929e8049a84957002bc7e2071844bfb53','java','src/jvm/clojure/asm/AnnotationWriter.java','False','False','put','2','4','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0'
'clojure','c8d3ef3929e8049a84957002bc7e2071844bfb53','java','src/jvm/clojure/asm/AnnotationWriter.java','False','False','put','1','4','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'clojure','c8d3ef3929e8049a84957002bc7e2071844bfb53','java','src/jvm/clojure/asm/Attribute.java','False','False','write','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'clojure','c8d3ef3929e8049a84957002bc7e2071844bfb53','java','src/jvm/clojure/asm/Attribute.java','False','False','getCount','1','2','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0'
'clojure','c8d3ef3929e8049a84957002bc7e2071844bfb53','java','src/jvm/clojure/asm/Attribute.java','False','False','getSize','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'clojure','c8d3ef3929e8049a84957002bc7e2071844bfb53','java','src/jvm/clojure/asm/Attribute.java','False','False','put','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'clojure','c8d3ef3929e8049a84957002bc7e2071844bfb53','java','src/jvm/clojure/asm/ByteVector.java','False','False','putByte','1','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'clojure','c8d3ef3929e8049a84957002bc7e2071844bfb53','java','src/jvm/clojure/asm/ByteVector.java','False','False','put11','1','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'clojure','c8d3ef3929e8049a84957002bc7e2071844bfb53','java','src/jvm/clojure/asm/ByteVector.java','False','False','putShort','1','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'clojure','c8d3ef3929e8049a84957002bc7e2071844bfb53','java','src/jvm/clojure/asm/ByteVector.java','False','False','put12','1','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'clojure','c8d3ef3929e8049a84957002bc7e2071844bfb53','java','src/jvm/clojure/asm/ByteVector.java','False','False','putInt','1','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'clojure','c8d3ef3929e8049a84957002bc7e2071844bfb53','java','src/jvm/clojure/asm/ByteVector.java','False','False','putLong','1','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'clojure','c8d3ef3929e8049a84957002bc7e2071844bfb53','java','src/jvm/clojure/asm/ByteVector.java','False','False','putUTF8','14','32','0','0','0','0','0','0','0','0','0','0','0','0','0','0','29','0'
'clojure','c8d3ef3929e8049a84957002bc7e2071844bfb53','java','src/jvm/clojure/asm/ByteVector.java','False','False','putByteArray','2','4','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'clojure','c8d3ef3929e8049a84957002bc7e2071844bfb53','java','src/jvm/clojure/asm/ClassReader.java','False','False','ClassReader','12','6','1','0','1','0','0','0','0','0','0','0','0','0','0','0','8','0'
'clojure','c8d3ef3929e8049a84957002bc7e2071844bfb53','java','src/jvm/clojure/asm/ClassReader.java','False','False','getSuperName','1','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'clojure','c8d3ef3929e8049a84957002bc7e2071844bfb53','java','src/jvm/clojure/asm/ClassReader.java','False','False','copyPool','24','23','0','0','0','0','0','0','0','0','0','0','0','0','0','0','26','0'
'clojure','c8d3ef3929e8049a84957002bc7e2071844bfb53','java','src/jvm/clojure/asm/ClassReader.java','False','False','copyBootstrapMethods','37','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','28','0'
