project, sha, language, file_name, is_test,isExceptionPatch, method_name,total_add,total_del,while Adds,catch Dels,try Adds,try Dels,exception Dels,raise Adds,catch Adds,finally Dels,finally Adds,throw  Adds,for Dels,throw  Dels,for Adds,while Dels,exception Adds,raise Dels
'dropwizard','6d1fa7b2cf70b0b9a34a1bc6953b59cd7ed3989d','java','dropwizard-jackson/src/main/java/io/dropwizard/jackson/FuzzyEnumModule.java','False','False','deserialize','2','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1'
'dropwizard','6c8ec841db83810d6ba2ac2e45b66060585cbae6','java','dropwizard-jackson/src/main/java/io/dropwizard/jackson/FuzzyEnumModule.java','False','False','deserialize','3','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1'
'dropwizard','fb169246a5ca50c956ca64a10b623543ac43ba48','java','dropwizard-views-freemarker/src/test/java/io/dropwizard/views/freemarker/FreemarkerViewRendererTest.java','True','False','configure','2','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'dropwizard','fb169246a5ca50c956ca64a10b623543ac43ba48','java','dropwizard-views-mustache/src/test/java/io/dropwizard/views/mustache/MustacheViewRendererTest.java','True','False','configure','2','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'dropwizard','fb169246a5ca50c956ca64a10b623543ac43ba48','java','dropwizard-views/src/main/java/io/dropwizard/views/ViewBundle.java','False','False','ViewBundle','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'dropwizard','fb169246a5ca50c956ca64a10b623543ac43ba48','java','dropwizard-views/src/main/java/io/dropwizard/views/ViewBundle.java','False','False','ViewBundle','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'dropwizard','fb169246a5ca50c956ca64a10b623543ac43ba48','java','dropwizard-views/src/main/java/io/dropwizard/views/ViewBundle.java','False','False','run','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'dropwizard','fb169246a5ca50c956ca64a10b623543ac43ba48','java','dropwizard-views/src/main/java/io/dropwizard/views/ViewMessageBodyWriter.java','False','False','ViewMessageBodyWriter','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'dropwizard','fb169246a5ca50c956ca64a10b623543ac43ba48','java','dropwizard-views/src/main/java/io/dropwizard/views/ViewMessageBodyWriter.java','False','False','ViewMessageBodyWriter','2','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'dropwizard','fb169246a5ca50c956ca64a10b623543ac43ba48','java','dropwizard-views/src/test/java/io/dropwizard/views/ViewBundleTest.java','True','False','NO_FUNC_CONTEXT','0','0','0','0','2','0'
'dropwizard','05e421c7f525f2e89498f694b6f7f86c30907641','java','dropwizard-core/src/main/java/io/dropwizard/cli/ConfiguredCommand.java','False','False','NO_FUNC_CONTEXT','0','0','0','0','1','0'
'dropwizard','05e421c7f525f2e89498f694b6f7f86c30907641','java','dropwizard-core/src/main/java/io/dropwizard/cli/ConfiguredCommand.java','False','False','parseConfiguration','1','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'dropwizard','05e421c7f525f2e89498f694b6f7f86c30907641','java','dropwizard-core/src/main/java/io/dropwizard/cli/ConfiguredCommand.java','False','False','NO_FUNC_CONTEXT','0','0','0','0','0','1'
'dropwizard','a4ea85a9c4d1df458e0d9484db56d8f7d388bd84','java','dropwizard-jackson/src/main/java/io/dropwizard/jackson/FuzzyEnumModule.java','False','False','deserialize','2','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1'
'dropwizard','fe5f4f66b024cfa7e56aea363c7e2108fb687602','java','dropwizard-logging/src/main/java/io/dropwizard/logging/FileAppenderFactory.java','False','False','buildAppender','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'dropwizard','6c27becface125a0e4707bd69b9abaf2b739cb4b','java','dropwizard-logging/src/main/java/io/dropwizard/logging/FileAppenderFactory.java','False','False','buildAppender','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'dropwizard','f707ae050f691ddd806fd33141038f62a9876010','java','dropwizard-jdbi/src/main/java/io/dropwizard/jdbi/args/JodaDateTimeMapper.java','False','False','extractByName','5','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'dropwizard','f707ae050f691ddd806fd33141038f62a9876010','java','dropwizard-jdbi/src/main/java/io/dropwizard/jdbi/args/JodaDateTimeMapper.java','False','False','extractByIndex','5','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'dropwizard','f707ae050f691ddd806fd33141038f62a9876010','java','dropwizard-jdbi/src/test/java/io/dropwizard/jdbi/JDBITest.java','True','False','setUp','6','0','0','0','0','0','6','0','0','0','0','0','0','0','0','0','0','0'
'dropwizard','f707ae050f691ddd806fd33141038f62a9876010','java','dropwizard-jdbi/src/test/java/io/dropwizard/jdbi/JDBITest.java','True','False','sqlObjectsCanReturnImmutableLists','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'dropwizard','f707ae050f691ddd806fd33141038f62a9876010','java','dropwizard-jdbi/src/test/java/io/dropwizard/jdbi/JDBITest.java','True','False','sqlObjectsCanReturnImmutableSets','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'dropwizard','f707ae050f691ddd806fd33141038f62a9876010','java','dropwizard-jdbi/src/test/java/io/dropwizard/jdbi/JDBITest.java','True','False','sqlObjectsCanReturnJodaDateTime','11','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'dropwizard','d7822ace6e76711f602aa37701f5a4b4422a44a0','java','dropwizard-core/src/main/java/io/dropwizard/server/DefaultServerFactory.java','False','False','buildAdminConnectors','8','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','6','1'
