project, sha, language, file_name, is_test,isExceptionPatch, method_name,total_add,total_del,while Adds,catch Dels,try Adds,try Dels,exception Dels,raise Adds,catch Adds,finally Dels,finally Adds,throw  Adds,for Dels,throw  Dels,for Adds,while Dels,exception Adds,raise Dels
'elasticsearch','bc9a4707db16a97c5202ba2b6e1c2e4e3b73eaff','java','core/src/main/java/org/elasticsearch/common/geo/builders/ShapeBuilder.java','False','False','parse','5','3','0','0','0','0','0','0','0','0','0','0','0','0','1','1','0','0'
'elasticsearch','bc9a4707db16a97c5202ba2b6e1c2e4e3b73eaff','java','core/src/main/java/org/elasticsearch/common/geo/builders/ShapeBuilder.java','False','False','parseEnvelope','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'elasticsearch','bc9a4707db16a97c5202ba2b6e1c2e4e3b73eaff','java','core/src/main/java/org/elasticsearch/common/geo/builders/ShapeBuilder.java','False','False','parseLinearRing','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'elasticsearch','bc9a4707db16a97c5202ba2b6e1c2e4e3b73eaff','java','core/src/main/java/org/elasticsearch/common/geo/builders/ShapeBuilder.java','False','False','parsePolygon','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'elasticsearch','bc9a4707db16a97c5202ba2b6e1c2e4e3b73eaff','java','core/src/main/java/org/elasticsearch/common/geo/builders/ShapeBuilder.java','False','False','parseMultiPolygon','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'elasticsearch','bc9a4707db16a97c5202ba2b6e1c2e4e3b73eaff','java','core/src/main/java/org/elasticsearch/common/geo/builders/ShapeBuilder.java','False','False','parseGeometries','1','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0'
'elasticsearch','bc9a4707db16a97c5202ba2b6e1c2e4e3b73eaff','java','core/src/main/java/org/elasticsearch/common/geo/builders/ShapeBuilder.java','False','False','NO_FUNC_CONTEXT','0','0','1','1','2','1'
'elasticsearch','bc9a4707db16a97c5202ba2b6e1c2e4e3b73eaff','java','core/src/main/java/org/elasticsearch/index/mapper/geo/GeoPointFieldMapper.java','False','False','parse','1','3','0','0','0','0','0','0','0','0','0','0','0','0','0','3','0','0'
'elasticsearch','bc9a4707db16a97c5202ba2b6e1c2e4e3b73eaff','java','core/src/main/java/org/elasticsearch/index/mapper/geo/GeoShapeFieldMapper.java','False','False','NO_FUNC_CONTEXT','0','0','0','0','1','0'
'elasticsearch','bc9a4707db16a97c5202ba2b6e1c2e4e3b73eaff','java','core/src/main/java/org/elasticsearch/index/mapper/geo/GeoShapeFieldMapper.java','False','False','coerce','4','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'elasticsearch','bc9a4707db16a97c5202ba2b6e1c2e4e3b73eaff','java','core/src/main/java/org/elasticsearch/index/mapper/geo/GeoShapeFieldMapper.java','False','False','coerce','9','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'elasticsearch','bc9a4707db16a97c5202ba2b6e1c2e4e3b73eaff','java','core/src/main/java/org/elasticsearch/index/mapper/geo/GeoShapeFieldMapper.java','False','False','build','2','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'elasticsearch','bc9a4707db16a97c5202ba2b6e1c2e4e3b73eaff','java','core/src/main/java/org/elasticsearch/index/mapper/geo/GeoShapeFieldMapper.java','False','False','parse','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','4','0'
'elasticsearch','bc9a4707db16a97c5202ba2b6e1c2e4e3b73eaff','java','core/src/main/java/org/elasticsearch/index/mapper/geo/GeoShapeFieldMapper.java','False','False','GeoShapeFieldMapper','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'elasticsearch','bc9a4707db16a97c5202ba2b6e1c2e4e3b73eaff','java','core/src/main/java/org/elasticsearch/index/mapper/geo/GeoShapeFieldMapper.java','False','False','GeoShapeFieldMapper','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'elasticsearch','bc9a4707db16a97c5202ba2b6e1c2e4e3b73eaff','java','core/src/main/java/org/elasticsearch/index/mapper/geo/GeoShapeFieldMapper.java','False','False','merge','13','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0'
'elasticsearch','bc9a4707db16a97c5202ba2b6e1c2e4e3b73eaff','java','core/src/main/java/org/elasticsearch/index/mapper/geo/GeoShapeFieldMapper.java','False','False','doXContentBody','4','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'elasticsearch','bc9a4707db16a97c5202ba2b6e1c2e4e3b73eaff','java','core/src/main/java/org/elasticsearch/index/mapper/geo/GeoShapeFieldMapper.java','False','False','coerce','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'elasticsearch','bc9a4707db16a97c5202ba2b6e1c2e4e3b73eaff','java','core/src/main/java/org/elasticsearch/index/query/GeoPolygonQueryParser.java','False','False','parse','3','0','0','0','0','0','0','0','0','0','0','0','0','0','8','0','0','0'
'elasticsearch','bc9a4707db16a97c5202ba2b6e1c2e4e3b73eaff','java','core/src/test/java/org/elasticsearch/index/mapper/geo/GeoShapeFieldMapperTests.java','True','False','testCoerceParsing','30','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0'
'elasticsearch','7a21d846bb920b25101a2a958dbfb44f872cfeb1','java','core/src/main/java/org/elasticsearch/action/ActionModule.java','False','False','configure','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
