project, sha, language, file_name, is_test,isExceptionPatch, method_name,total_add,total_del,while Adds,catch Dels,try Adds,try Dels,exception Dels,raise Adds,catch Adds,finally Dels,finally Adds,throw  Adds,for Dels,throw  Dels,for Adds,while Dels,exception Adds,raise Dels
'jedis','23b54c2cef17c4d85ab2e25cc659d37ceac83e49','java','src/test/java/redis/clients/jedis/tests/JedisClusterTest.java','True','False','setUp','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'jedis','23b54c2cef17c4d85ab2e25cc659d37ceac83e49','java','src/test/java/redis/clients/jedis/tests/JedisClusterTest.java','True','False','testMovedExceptionParameters','3','1','0','0','0','0','0','0','3','1','0','0','0','0','0','0','0','0'
'jedis','23b54c2cef17c4d85ab2e25cc659d37ceac83e49','java','src/test/java/redis/clients/jedis/tests/JedisClusterTest.java','True','False','waitForClusterReady','3','3','0','0','0','0','0','0','0','0','0','0','0','0','3','3','0','0'
'jedis','46733c5d5a081d3397e05e3027e89435b7859035','java','src/main/java/redis/clients/jedis/JedisCluster.java','False','False','JedisCluster','1','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'jedis','46733c5d5a081d3397e05e3027e89435b7859035','java','src/main/java/redis/clients/jedis/JedisCluster.java','False','False','JedisCluster','5','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'jedis','46733c5d5a081d3397e05e3027e89435b7859035','java','src/main/java/redis/clients/jedis/JedisCluster.java','False','False','set','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'jedis','46733c5d5a081d3397e05e3027e89435b7859035','java','src/main/java/redis/clients/jedis/JedisCluster.java','False','False','get','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'jedis','46733c5d5a081d3397e05e3027e89435b7859035','java','src/main/java/redis/clients/jedis/JedisCluster.java','False','False','exists','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'jedis','46733c5d5a081d3397e05e3027e89435b7859035','java','src/main/java/redis/clients/jedis/JedisCluster.java','False','False','persist','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'jedis','46733c5d5a081d3397e05e3027e89435b7859035','java','src/main/java/redis/clients/jedis/JedisCluster.java','False','False','type','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
