project, sha, language, file_name, is_test,isExceptionPatch, method_name,total_add,total_del,while Adds,catch Dels,try Adds,try Dels,exception Dels,raise Adds,catch Adds,finally Dels,finally Adds,throw  Adds,for Dels,throw  Dels,for Adds,while Dels,exception Adds,raise Dels
'jenkins','5727f287e245dc991ba2300790e091eb74981d8b','java','core/src/main/java/hudson/scheduler/CronTab.java','False','False','checkSanity','10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','6','0'
'jenkins','bd6b999eb0fd4156a281c75dd535090312512fff','java','core/src/main/java/hudson/logging/LogRecorder.java','False','False','publish','10','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','11','2'
'jenkins','bd6b999eb0fd4156a281c75dd535090312512fff','java','core/src/main/java/hudson/logging/LogRecorder.java','False','False','getName','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'jenkins','bd6b999eb0fd4156a281c75dd535090312512fff','java','core/src/main/java/hudson/logging/LogRecorder.java','False','False','matches','14','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'jenkins','b9426e4f17e551d6d68818b8a0adb88c6bb26a18','java','core/src/main/java/hudson/logging/LogRecorder.java','False','False','compare','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'jenkins','b9426e4f17e551d6d68818b8a0adb88c6bb26a18','java','core/src/main/java/hudson/logging/LogRecorder.java','False','False','publish','12','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','13','3'
'jenkins','b9426e4f17e551d6d68818b8a0adb88c6bb26a18','java','core/src/main/java/hudson/logging/LogRecorder.java','False','False','getName','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'jenkins','b9426e4f17e551d6d68818b8a0adb88c6bb26a18','java','core/src/main/java/hudson/logging/LogRecorder.java','False','False','matches','14','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'jenkins','ec12c07ef51cc38b60ffeb1808c69c155866926e','java','core/src/main/java/hudson/security/GroupDetails.java','False','False','getMembers','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'jenkins','cb623640ccd820ad0540efc3b50cc596626e43a2','java','core/src/main/java/hudson/model/AbstractProject.java','False','False','NO_FUNC_CONTEXT','0','0','0','0','3','0'
'jenkins','c21b209ba383e5e4f6522ec866d03fb9ca5745a4','java','core/src/main/java/hudson/model/Actionable.java','False','False','createFor','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'jenkins','a22e9feaaef30b89621ae9ca3f33f862ae99f4c7','java','core/src/main/java/hudson/cli/SetBuildParameterCommand.java','False','False','run','1','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'jenkins','a22e9feaaef30b89621ae9ca3f33f862ae99f4c7','java','core/src/main/java/hudson/model/Actionable.java','False','False','replaceAction','9','0','0','0','0','0','0','0','0','0','0','0','0','0','6','0','0','0'
'jenkins','a22e9feaaef30b89621ae9ca3f33f862ae99f4c7','java','core/src/main/java/hudson/triggers/SCMTrigger.java','False','False','onAddedTo','1','6','0','0','0','0','1','1','0','0','0','0','0','0','0','0','0','0'
