project, sha, language, file_name, is_test,isExceptionPatch, method_name,total_add,total_del,while Adds,catch Dels,try Adds,try Dels,exception Dels,raise Adds,catch Adds,finally Dels,finally Adds,throw  Adds,for Dels,throw  Dels,for Adds,while Dels,exception Adds,raise Dels
'otto','750bac1fb7cc0352f749ce2eec3d66901037fcd2','java','library/src/main/java/com/squareup/otto/Bus.java','False','False','register','3','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0'
'otto','750bac1fb7cc0352f749ce2eec3d66901037fcd2','java','library/src/main/java/com/squareup/otto/Bus.java','False','False','unregister','3','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0'
'otto','750bac1fb7cc0352f749ce2eec3d66901037fcd2','java','library/src/main/java/com/squareup/otto/Bus.java','False','False','post','3','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0'
'otto','bbe34b16dbdadd4b229eb21e04ba3d7d908bc4e5','java','library/src/test/java/com/squareup/otto/BusTest.java','True','False','setUp','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'otto','bbe34b16dbdadd4b229eb21e04ba3d7d908bc4e5','java','library/src/test/java/com/squareup/otto/EventBusInnerClassStressTest.java','True','False','eventBusOkayWithNonStaticInnerClass','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'otto','bbe34b16dbdadd4b229eb21e04ba3d7d908bc4e5','java','library/src/test/java/com/squareup/otto/EventBusInnerClassStressTest.java','True','False','eventBusFailWithAnonInnerClass','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'otto','bbe34b16dbdadd4b229eb21e04ba3d7d908bc4e5','java','library/src/test/java/com/squareup/otto/EventBusInnerClassStressTest.java','True','False','eventBusNpeWithAnonInnerClassWaitingForObject','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'otto','bbe34b16dbdadd4b229eb21e04ba3d7d908bc4e5','java','library/src/test/java/com/squareup/otto/UnregisteringHandlerTest.java','True','False','setUp','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'otto','bbe34b16dbdadd4b229eb21e04ba3d7d908bc4e5','java','library/src/test/java/com/squareup/otto/outside/AnnotatedHandlerFinderTest.java','True','False','setUp','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'otto','bbe34b16dbdadd4b229eb21e04ba3d7d908bc4e5','java','library/src/test/java/com/squareup/otto/outside/AnnotatedHandlerFinderTest.java','True','False','subscribingToInterfacesFails','1','1','0','0','0','0','1','1','0','0','0','0','0','0','0','0','0','0'
'otto','bbe34b16dbdadd4b229eb21e04ba3d7d908bc4e5','java','library/src/test/java/com/squareup/otto/outside/AnnotatedProducerFinderTest.java','True','False','simpleProducer','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
