project, sha, language, file_name, is_test,isExceptionPatch, method_name,total_add,total_del,while Adds,catch Dels,try Adds,try Dels,exception Dels,raise Adds,catch Adds,finally Dels,finally Adds,throw  Adds,for Dels,throw  Dels,for Adds,while Dels,exception Adds,raise Dels
'phonegap','e7f98284d528ef5c1551e41223b56b503ae06678','java','Android/DatePicker/DatePickerPlugin.java','False','False','execute','1','7','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'phonegap','e7f98284d528ef5c1551e41223b56b503ae06678','java','Android/DatePicker/DatePickerPlugin.java','False','False','show','1','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'phonegap','e7f98284d528ef5c1551e41223b56b503ae06678','java','Android/DatePicker/DatePickerPlugin.java','False','False','run','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'phonegap','e7f98284d528ef5c1551e41223b56b503ae06678','java','Android/DatePicker/DatePickerPlugin.java','False','False','run','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'phonegap','e7f98284d528ef5c1551e41223b56b503ae06678','java','Android/DatePicker/DatePickerPlugin.java','False','False','DateSetListener','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'phonegap','e7f98284d528ef5c1551e41223b56b503ae06678','java','Android/DatePicker/DatePickerPlugin.java','False','False','onDateSet','1','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'phonegap','e7f98284d528ef5c1551e41223b56b503ae06678','java','Android/DatePicker/DatePickerPlugin.java','False','False','TimeSetListener','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'phonegap','e7f98284d528ef5c1551e41223b56b503ae06678','java','Android/DatePicker/DatePickerPlugin.java','False','False','onTimeSet','1','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'phonegap','be896eddf5562b099ff896c8a8f15c109758d516','java','Android/BarcodeScanner/1.8.1/src/com/phonegap/plugins/barcodescanner/BarcodeScanner.java','False','False','onActivityResult','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'phonegap','ac02e812c3ca25298a16c8f2269b9fb47d5027c4','java','Android/StatusBarNotification/StatusBarNotification.java','False','False','execute','4','1','0','0','0','0','4','1','0','0','0','0','0','0','0','0','0','0'
'phonegap','ac02e812c3ca25298a16c8f2269b9fb47d5027c4','java','Android/StatusBarNotification/StatusBarNotification.java','False','False','getFlagValue','11','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'phonegap','ac02e812c3ca25298a16c8f2269b9fb47d5027c4','java','Android/StatusBarNotification/StatusBarNotification.java','False','False','showNotification','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'phonegap','1362a06aba1395c270807ad0b9daafc3591857f8','java','Android/StatusBarNotification/StatusBarNotification.java','False','False','showNotification','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
