project, sha, language, file_name, is_test,isExceptionPatch, method_name,total_add,total_del,while Adds,catch Dels,try Adds,try Dels,exception Dels,raise Adds,catch Adds,finally Dels,finally Adds,throw  Adds,for Dels,throw  Dels,for Adds,while Dels,exception Adds,raise Dels
'photoView','c03b52f68467257ab9629a5eab7dd01b89ebd661','java','library/src/uk/co/senab/photoview/PhotoView.java','False','False','getMinScale','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'photoView','c03b52f68467257ab9629a5eab7dd01b89ebd661','java','library/src/uk/co/senab/photoview/PhotoView.java','False','False','getMinimumScale','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'photoView','c03b52f68467257ab9629a5eab7dd01b89ebd661','java','library/src/uk/co/senab/photoview/PhotoView.java','False','False','getMidScale','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'photoView','c03b52f68467257ab9629a5eab7dd01b89ebd661','java','library/src/uk/co/senab/photoview/PhotoView.java','False','False','getMediumScale','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'photoView','c03b52f68467257ab9629a5eab7dd01b89ebd661','java','library/src/uk/co/senab/photoview/PhotoView.java','False','False','getMaxScale','2','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'photoView','c03b52f68467257ab9629a5eab7dd01b89ebd661','java','library/src/uk/co/senab/photoview/PhotoView.java','False','False','getMaximumScale','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'photoView','c03b52f68467257ab9629a5eab7dd01b89ebd661','java','library/src/uk/co/senab/photoview/PhotoView.java','False','False','setMinScale','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'photoView','c03b52f68467257ab9629a5eab7dd01b89ebd661','java','library/src/uk/co/senab/photoview/PhotoView.java','False','False','setMinimumScale','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'photoView','c03b52f68467257ab9629a5eab7dd01b89ebd661','java','library/src/uk/co/senab/photoview/PhotoView.java','False','False','setMidScale','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'photoView','c03b52f68467257ab9629a5eab7dd01b89ebd661','java','library/src/uk/co/senab/photoview/PhotoView.java','False','False','setMediumScale','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'photoView','c03b52f68467257ab9629a5eab7dd01b89ebd661','java','library/src/uk/co/senab/photoview/PhotoView.java','False','False','setMaxScale','2','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'photoView','c03b52f68467257ab9629a5eab7dd01b89ebd661','java','library/src/uk/co/senab/photoview/PhotoView.java','False','False','setMaximumScale','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'photoView','c03b52f68467257ab9629a5eab7dd01b89ebd661','java','library/src/uk/co/senab/photoview/PhotoViewAttacher.java','False','False','getMinScale','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'photoView','c03b52f68467257ab9629a5eab7dd01b89ebd661','java','library/src/uk/co/senab/photoview/PhotoViewAttacher.java','False','False','getMinimumScale','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'photoView','c03b52f68467257ab9629a5eab7dd01b89ebd661','java','library/src/uk/co/senab/photoview/PhotoViewAttacher.java','False','False','getMidScale','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'photoView','c03b52f68467257ab9629a5eab7dd01b89ebd661','java','library/src/uk/co/senab/photoview/PhotoViewAttacher.java','False','False','getMediumScale','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'photoView','c03b52f68467257ab9629a5eab7dd01b89ebd661','java','library/src/uk/co/senab/photoview/PhotoViewAttacher.java','False','False','getMaxScale','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'photoView','c03b52f68467257ab9629a5eab7dd01b89ebd661','java','library/src/uk/co/senab/photoview/PhotoViewAttacher.java','False','False','getMaximumScale','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'photoView','c03b52f68467257ab9629a5eab7dd01b89ebd661','java','library/src/uk/co/senab/photoview/PhotoViewAttacher.java','False','False','setMinScale','1','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'photoView','c03b52f68467257ab9629a5eab7dd01b89ebd661','java','library/src/uk/co/senab/photoview/PhotoViewAttacher.java','False','False','setMinimumScale','4','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'photoView','c03b52f68467257ab9629a5eab7dd01b89ebd661','java','library/src/uk/co/senab/photoview/PhotoViewAttacher.java','False','False','setMidScale','1','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'photoView','c03b52f68467257ab9629a5eab7dd01b89ebd661','java','library/src/uk/co/senab/photoview/PhotoViewAttacher.java','False','False','setMediumScale','4','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'photoView','c03b52f68467257ab9629a5eab7dd01b89ebd661','java','library/src/uk/co/senab/photoview/PhotoViewAttacher.java','False','False','setMaxScale','2','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'photoView','c03b52f68467257ab9629a5eab7dd01b89ebd661','java','library/src/uk/co/senab/photoview/PhotoViewAttacher.java','False','False','setMaximumScale','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'photoView','33479fc85cf42feba494d4f09fe16262f1698ace','java','sample/src/uk/co/senab/photoview/sample/LauncherActivity.java','False','False','onListItemClick','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'photoView','cc0179a2ec214d8501c150eabd902811e924e0b8','java','library/src/uk/co/senab/photoview/PhotoView.java','False','False','setPhotoViewRotation','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'photoView','15208d576d1aac8d40977e5fd4dbe3f490342ae0','java','library/src/uk/co/senab/photoview/PhotoViewAttacher.java','False','False','setRotation','5','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'photoView','c5904b2af9eeecf21d66a838804ab23feea7cdb8','java','library/src/uk/co/senab/photoview/PhotoView.java','False','False','getDisplayMatrix','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'photoView','a7458e1d829c8514c2b21b5510bda096a8df17eb','java','library/src/uk/co/senab/photoview/PhotoView.java','False','False','setDisplayMatrix','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'photoView','a7458e1d829c8514c2b21b5510bda096a8df17eb','java','library/src/uk/co/senab/photoview/PhotoViewAttacher.java','False','False','setDisplayMatrix','14','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'photoView','a7458e1d829c8514c2b21b5510bda096a8df17eb','java','library/src/uk/co/senab/photoview/PhotoViewAttacher.java','False','False','getDisplayMatrix','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'photoView','832f9bf7786c1accb6d3b448c5a05b3f3d5233c8','java','library/src/uk/co/senab/photoview/Compat.java','False','False','getPointerIndex','6','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'photoView','832f9bf7786c1accb6d3b448c5a05b3f3d5233c8','java','library/src/uk/co/senab/photoview/Compat.java','False','False','getPointerIndexEclair','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'photoView','832f9bf7786c1accb6d3b448c5a05b3f3d5233c8','java','library/src/uk/co/senab/photoview/Compat.java','False','False','getPointerIndexHoneyComb','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'photoView','832f9bf7786c1accb6d3b448c5a05b3f3d5233c8','java','library/src/uk/co/senab/photoview/PhotoViewAttacher.java','False','False','checkZoomLevels','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'photoView','832f9bf7786c1accb6d3b448c5a05b3f3d5233c8','java','library/src/uk/co/senab/photoview/PhotoViewAttacher.java','False','False','isSupportedScaleType','2','1','1','1','1','1','0','0','0','0','0','0','0','0','0','0','0','0'
'photoView','832f9bf7786c1accb6d3b448c5a05b3f3d5233c8','java','library/src/uk/co/senab/photoview/PhotoViewAttacher.java','False','False','setImageViewScaleTypeMatrix','2','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'photoView','832f9bf7786c1accb6d3b448c5a05b3f3d5233c8','java','library/src/uk/co/senab/photoview/PhotoViewAttacher.java','False','False','PhotoViewAttacher','2','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'photoView','832f9bf7786c1accb6d3b448c5a05b3f3d5233c8','java','library/src/uk/co/senab/photoview/PhotoViewAttacher.java','False','False','getImageView','2','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'photoView','832f9bf7786c1accb6d3b448c5a05b3f3d5233c8','java','library/src/uk/co/senab/photoview/PhotoViewAttacher.java','False','False','onDrag','6','4','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'photoView','832f9bf7786c1accb6d3b448c5a05b3f3d5233c8','java','library/src/uk/co/senab/photoview/PhotoViewAttacher.java','False','False','onFling','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'photoView','832f9bf7786c1accb6d3b448c5a05b3f3d5233c8','java','library/src/uk/co/senab/photoview/PhotoViewAttacher.java','False','False','onGlobalLayout','2','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'photoView','832f9bf7786c1accb6d3b448c5a05b3f3d5233c8','java','library/src/uk/co/senab/photoview/PhotoViewAttacher.java','False','False','onScale','4','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'photoView','832f9bf7786c1accb6d3b448c5a05b3f3d5233c8','java','library/src/uk/co/senab/photoview/PhotoViewAttacher.java','False','False','onSingleTapConfirmed','4','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'photoView','832f9bf7786c1accb6d3b448c5a05b3f3d5233c8','java','library/src/uk/co/senab/photoview/PhotoViewAttacher.java','False','False','onTouch','7','5','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'photoView','832f9bf7786c1accb6d3b448c5a05b3f3d5233c8','java','library/src/uk/co/senab/photoview/PhotoViewAttacher.java','False','False','setScale','4','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'photoView','832f9bf7786c1accb6d3b448c5a05b3f3d5233c8','java','library/src/uk/co/senab/photoview/PhotoViewAttacher.java','False','False','setScale','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'photoView','832f9bf7786c1accb6d3b448c5a05b3f3d5233c8','java','library/src/uk/co/senab/photoview/PhotoViewAttacher.java','False','False','getDisplayRect','2','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'photoView','832f9bf7786c1accb6d3b448c5a05b3f3d5233c8','java','library/src/uk/co/senab/photoview/PhotoViewAttacher.java','False','False','updateBaseMatrix','2','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'photoView','832f9bf7786c1accb6d3b448c5a05b3f3d5233c8','java','library/src/uk/co/senab/photoview/PhotoViewAttacher.java','False','False','AnimatedZoomRunnable','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'photoView','832f9bf7786c1accb6d3b448c5a05b3f3d5233c8','java','library/src/uk/co/senab/photoview/PhotoViewAttacher.java','False','False','run','2','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
