project, sha, language, file_name, is_test,isExceptionPatch, method_name,total_add,total_del,while Adds,catch Dels,try Adds,try Dels,exception Dels,raise Adds,catch Adds,finally Dels,finally Adds,throw  Adds,for Dels,throw  Dels,for Adds,while Dels,exception Adds,raise Dels
'roboguice','9743a8e7ba9170ec185338145027053aaf761f61','java','roboguice/src/main/java/roboguice/config/DefaultRoboModule.java','False','False','configure','6','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'roboguice','1e6c8eddeff9201ccbd50b7359a44d7376bcf656','java','roboguice/src/main/java/roboguice/config/DefaultRoboModule.java','False','False','configure','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'roboguice','1e6c8eddeff9201ccbd50b7359a44d7376bcf656','java','roboguice/src/main/java/roboguice/config/DefaultRoboModule.java','False','False','bindDynamicBindings','2','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'roboguice','1e6c8eddeff9201ccbd50b7359a44d7376bcf656','java','roboguice/src/main/java/roboguice/event/eventListener/ObserverMethodListener.java','False','False','equals','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'roboguice','1e6c8eddeff9201ccbd50b7359a44d7376bcf656','java','roboguice/src/main/java/roboguice/event/eventListener/javaassist/RuntimeSupport.java','False','False','makeDescriptor','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'roboguice','1e6c8eddeff9201ccbd50b7359a44d7376bcf656','java','roboguice/src/main/java/roboguice/event/eventListener/javaassist/RuntimeSupport.java','False','False','makeDescriptor','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'roboguice','1e6c8eddeff9201ccbd50b7359a44d7376bcf656','java','roboguice/src/main/java/roboguice/event/eventListener/javaassist/RuntimeSupport.java','False','False','makeDesc','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'roboguice','1e6c8eddeff9201ccbd50b7359a44d7376bcf656','java','roboguice/src/main/java/roboguice/event/javaassist/RuntimeSupport.java','False','False','makeDescriptor','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'roboguice','1e6c8eddeff9201ccbd50b7359a44d7376bcf656','java','roboguice/src/main/java/roboguice/event/javaassist/RuntimeSupport.java','False','False','makeDescriptor','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'roboguice','1e6c8eddeff9201ccbd50b7359a44d7376bcf656','java','roboguice/src/main/java/roboguice/event/javaassist/RuntimeSupport.java','False','False','makeDesc','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'roboguice','89f6a07ea4b2faf7efd20bca05759f2740359404','java','roboguice/src/main/java/roboguice/config/DefaultRoboModule.java','False','False','configure','0','6','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'roboguice','89f6a07ea4b2faf7efd20bca05759f2740359404','java','roboguice/src/test/java/roboguice/activity/ActivityInjectionTest.java','True','False','onCreate','0','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'roboguice','89f6a07ea4b2faf7efd20bca05759f2740359404','java','roboguice/src/test/java/roboguice/activity/ActivityInjectionTest.java','True','False','onCreate','0','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'roboguice','89f6a07ea4b2faf7efd20bca05759f2740359404','java','roboguice/src/test/java/roboguice/activity/ActivityInjectionTest.java','True','False','onDestroy','0','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'roboguice','89f6a07ea4b2faf7efd20bca05759f2740359404','java','roboguice/src/test/java/roboguice/activity/ActivityInjectionTest.java','True','False','onCreate','0','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'roboguice','92c1810f28bba27c18e762c9456539b38b2c3a0e','java','roboguice/src/main/java/roboguice/config/DefaultRoboModule.java','False','False','configure','2','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'roboguice','92c1810f28bba27c18e762c9456539b38b2c3a0e','java','roboguice/src/main/java/roboguice/inject/ViewListener.java','False','False','hear','11','5','0','0','0','0','0','0','0','0','0','0','0','0','0','0','13','6'
'roboguice','92c1810f28bba27c18e762c9456539b38b2c3a0e','java','roboguice/src/main/java/roboguice/inject/ViewListener.java','False','False','reallyInjectMemberViews','0','1','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0'
'roboguice','92c1810f28bba27c18e762c9456539b38b2c3a0e','java','roboguice/src/main/java/roboguice/provided/fragment/FragmentUtil.java','False','False','NO_FUNC_CONTEXT','0','0','0','0','0','2'
'roboguice','92c1810f28bba27c18e762c9456539b38b2c3a0e','java','roboguice/src/main/java/roboguice/provided/fragment/NativeFragmentUtil.java','False','False','NativeFragmentUtil','4','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0'
'roboguice','92c1810f28bba27c18e762c9456539b38b2c3a0e','java','roboguice/src/main/java/roboguice/provided/fragment/NativeFragmentUtil.java','False','False','fragmentManagerProviderType','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'roboguice','4f9ef656e00ebd74e19f4d244936cf35bb59832b','java','roboguice/src/main/java/roboguice/config/DefaultRoboModule.java','False','False','configure','5','4','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'roboguice','6c15c3b7a017f1119768575315fe94a2cb7b890a','java','roboguice/src/main/java/roboguice/inject/ViewListener.java','False','False','NO_FUNC_CONTEXT','0','0','0','0','0','1'
'roboguice','a718349f41444f31a921a2a912c6e71cfcb26815','java','roboguice/src/main/java/roboguice/inject/ContextScopedRoboInjector.java','False','False','injectViewMembers','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'roboguice','d6d72f2e035251c99dbcddc8784d6ac24541810f','java','roboguice/src/main/java/roboguice/receiver/RoboAppWidgetProvider.java','False','False','onUpdate','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'roboguice','d6d72f2e035251c99dbcddc8784d6ac24541810f','java','roboguice/src/main/java/roboguice/receiver/RoboAppWidgetProvider.java','False','False','onHandleUpdate','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'roboguice','9d649585622ba0a8339b71591aafe99d6d483964','java','roboguice/src/main/java/roboguice/activity/RoboAccountAuthenticatorActivity.java','False','False','onCreateView','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'roboguice','9d649585622ba0a8339b71591aafe99d6d483964','java','roboguice/src/main/java/roboguice/activity/RoboAccountAuthenticatorActivity.java','False','False','onCreateView','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'roboguice','9d649585622ba0a8339b71591aafe99d6d483964','java','roboguice/src/main/java/roboguice/activity/RoboActionBarActivity.java','False','False','onCreateView','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'roboguice','9d649585622ba0a8339b71591aafe99d6d483964','java','roboguice/src/main/java/roboguice/activity/RoboActionBarActivity.java','False','False','onCreateView','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'roboguice','9d649585622ba0a8339b71591aafe99d6d483964','java','roboguice/src/main/java/roboguice/activity/RoboActivity.java','False','False','onCreateView','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'roboguice','9d649585622ba0a8339b71591aafe99d6d483964','java','roboguice/src/main/java/roboguice/activity/RoboActivity.java','False','False','onCreateView','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'roboguice','9d649585622ba0a8339b71591aafe99d6d483964','java','roboguice/src/main/java/roboguice/activity/RoboActivity.java','False','False','shouldInjectOnCreateView','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'roboguice','9d649585622ba0a8339b71591aafe99d6d483964','java','roboguice/src/main/java/roboguice/activity/RoboActivity.java','False','False','injectOnCreateView','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'roboguice','9d649585622ba0a8339b71591aafe99d6d483964','java','roboguice/src/main/java/roboguice/activity/RoboActivityGroup.java','False','False','onCreateView','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'roboguice','9d649585622ba0a8339b71591aafe99d6d483964','java','roboguice/src/main/java/roboguice/activity/RoboActivityGroup.java','False','False','onCreateView','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'roboguice','9d649585622ba0a8339b71591aafe99d6d483964','java','roboguice/src/main/java/roboguice/activity/RoboExpandableListActivity.java','False','False','onCreateView','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'roboguice','9d649585622ba0a8339b71591aafe99d6d483964','java','roboguice/src/main/java/roboguice/activity/RoboExpandableListActivity.java','False','False','onCreateView','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'roboguice','9d649585622ba0a8339b71591aafe99d6d483964','java','roboguice/src/main/java/roboguice/activity/RoboFragmentActivity.java','False','False','onCreateView','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'roboguice','9d649585622ba0a8339b71591aafe99d6d483964','java','roboguice/src/main/java/roboguice/activity/RoboFragmentActivity.java','False','False','onCreateView','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'roboguice','9d649585622ba0a8339b71591aafe99d6d483964','java','roboguice/src/main/java/roboguice/activity/RoboLauncherActivity.java','False','False','onCreateView','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'roboguice','9d649585622ba0a8339b71591aafe99d6d483964','java','roboguice/src/main/java/roboguice/activity/RoboLauncherActivity.java','False','False','onCreateView','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'roboguice','9d649585622ba0a8339b71591aafe99d6d483964','java','roboguice/src/main/java/roboguice/activity/RoboListActivity.java','False','False','onCreateView','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'roboguice','9d649585622ba0a8339b71591aafe99d6d483964','java','roboguice/src/main/java/roboguice/activity/RoboListActivity.java','False','False','onCreateView','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'roboguice','9d649585622ba0a8339b71591aafe99d6d483964','java','roboguice/src/main/java/roboguice/activity/RoboMapActivity.java','False','False','onCreateView','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'roboguice','9d649585622ba0a8339b71591aafe99d6d483964','java','roboguice/src/main/java/roboguice/activity/RoboMapActivity.java','False','False','onCreateView','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'roboguice','9d649585622ba0a8339b71591aafe99d6d483964','java','roboguice/src/main/java/roboguice/activity/RoboPreferenceActivity.java','False','False','onCreateView','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'roboguice','9d649585622ba0a8339b71591aafe99d6d483964','java','roboguice/src/main/java/roboguice/activity/RoboPreferenceActivity.java','False','False','onCreateView','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'roboguice','9d649585622ba0a8339b71591aafe99d6d483964','java','roboguice/src/main/java/roboguice/activity/RoboSherlockAccountAuthenticatorActivity.java','False','False','onCreateView','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'roboguice','9d649585622ba0a8339b71591aafe99d6d483964','java','roboguice/src/main/java/roboguice/activity/RoboSherlockAccountAuthenticatorActivity.java','False','False','onCreateView','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'roboguice','9d649585622ba0a8339b71591aafe99d6d483964','java','roboguice/src/main/java/roboguice/activity/RoboSherlockActivity.java','False','False','onCreateView','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'roboguice','9d649585622ba0a8339b71591aafe99d6d483964','java','roboguice/src/main/java/roboguice/activity/RoboSherlockActivity.java','False','False','onCreateView','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'roboguice','9d649585622ba0a8339b71591aafe99d6d483964','java','roboguice/src/main/java/roboguice/activity/RoboSherlockFragmentActivity.java','False','False','onCreateView','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'roboguice','9d649585622ba0a8339b71591aafe99d6d483964','java','roboguice/src/main/java/roboguice/activity/RoboSherlockFragmentActivity.java','False','False','onCreateView','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'roboguice','9d649585622ba0a8339b71591aafe99d6d483964','java','roboguice/src/main/java/roboguice/activity/RoboSherlockListActivity.java','False','False','onCreateView','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'roboguice','9d649585622ba0a8339b71591aafe99d6d483964','java','roboguice/src/main/java/roboguice/activity/RoboSherlockListActivity.java','False','False','onCreateView','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'roboguice','9d649585622ba0a8339b71591aafe99d6d483964','java','roboguice/src/main/java/roboguice/activity/RoboSherlockPreferenceActivity.java','False','False','onCreateView','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'roboguice','9d649585622ba0a8339b71591aafe99d6d483964','java','roboguice/src/main/java/roboguice/activity/RoboSherlockPreferenceActivity.java','False','False','onCreateView','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'roboguice','39996193de5c692c5f693463f9bcf3efcc863068','java','roboguice/src/main/java/roboguice/activity/RoboAccountAuthenticatorActivity.java','False','False','onCreateView','6','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'roboguice','39996193de5c692c5f693463f9bcf3efcc863068','java','roboguice/src/main/java/roboguice/activity/RoboAccountAuthenticatorActivity.java','False','False','onCreateView','6','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'roboguice','39996193de5c692c5f693463f9bcf3efcc863068','java','roboguice/src/main/java/roboguice/activity/RoboActionBarActivity.java','False','False','onCreateView','6','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'roboguice','39996193de5c692c5f693463f9bcf3efcc863068','java','roboguice/src/main/java/roboguice/activity/RoboActionBarActivity.java','False','False','onCreateView','6','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'roboguice','39996193de5c692c5f693463f9bcf3efcc863068','java','roboguice/src/main/java/roboguice/activity/RoboActivity.java','False','False','onCreateView','3','12','0','0','0','1','0','8','0','3','0','0','0','0','0','0','0','0'
'roboguice','39996193de5c692c5f693463f9bcf3efcc863068','java','roboguice/src/main/java/roboguice/activity/RoboActivity.java','False','False','onCreateView','5','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'roboguice','39996193de5c692c5f693463f9bcf3efcc863068','java','roboguice/src/main/java/roboguice/activity/RoboActivity.java','False','False','injectOnCreateView','5','8','1','0','1','0','3','5','1','2','0','0','0','0','0','0','0','0'
'roboguice','39996193de5c692c5f693463f9bcf3efcc863068','java','roboguice/src/main/java/roboguice/activity/RoboActivityGroup.java','False','False','onCreateView','6','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'roboguice','39996193de5c692c5f693463f9bcf3efcc863068','java','roboguice/src/main/java/roboguice/activity/RoboActivityGroup.java','False','False','onCreateView','6','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'roboguice','39996193de5c692c5f693463f9bcf3efcc863068','java','roboguice/src/main/java/roboguice/activity/RoboExpandableListActivity.java','False','False','onCreateView','6','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'roboguice','39996193de5c692c5f693463f9bcf3efcc863068','java','roboguice/src/main/java/roboguice/activity/RoboExpandableListActivity.java','False','False','onCreateView','6','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'roboguice','39996193de5c692c5f693463f9bcf3efcc863068','java','roboguice/src/main/java/roboguice/activity/RoboFragmentActivity.java','False','False','onCreateView','6','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'roboguice','39996193de5c692c5f693463f9bcf3efcc863068','java','roboguice/src/main/java/roboguice/activity/RoboFragmentActivity.java','False','False','onCreateView','6','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'roboguice','39996193de5c692c5f693463f9bcf3efcc863068','java','roboguice/src/main/java/roboguice/activity/RoboLauncherActivity.java','False','False','onCreateView','6','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'roboguice','39996193de5c692c5f693463f9bcf3efcc863068','java','roboguice/src/main/java/roboguice/activity/RoboLauncherActivity.java','False','False','onCreateView','6','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'roboguice','39996193de5c692c5f693463f9bcf3efcc863068','java','roboguice/src/main/java/roboguice/activity/RoboListActivity.java','False','False','onCreateView','6','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'roboguice','39996193de5c692c5f693463f9bcf3efcc863068','java','roboguice/src/main/java/roboguice/activity/RoboListActivity.java','False','False','onCreateView','6','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
