project, sha, language, file_name, is_test,isExceptionPatch, method_name,total_add,total_del,while Adds,catch Dels,try Adds,try Dels,exception Dels,raise Adds,catch Adds,finally Dels,finally Adds,throw  Adds,for Dels,throw  Dels,for Adds,while Dels,exception Adds,raise Dels
'rootbeer','f2216803ba36a3a7b9a256658740bbd0325f1b14','java','src/edu/syr/pcpratts/rootbeer/testcases/rootbeertest/serialization/DoubleToStringRunOnGpu.java','True','False','compare','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'rootbeer','f2216803ba36a3a7b9a256658740bbd0325f1b14','java','src/edu/syr/pcpratts/rootbeer/testcases/rootbeertest/serialization/DoubleToStringRunOnGpu.java','True','False','pad','0','6','0','0','0','0','0','0','0','0','0','0','0','0','0','3','0','0'
'rootbeer','f2216803ba36a3a7b9a256658740bbd0325f1b14','java','src/edu/syr/pcpratts/rootbeer/testcases/rootbeertest/serialization/DoubleToStringRunOnGpu.java','True','False','needPad','0','8','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'rootbeer','8caf01a12b50cac2d19961f0d5c936f130fe7465','java','src/edu/syr/pcpratts/rootbeer/generate/bytecode/AbstractVisitorGen.java','False','False','AbstractVisitorGen','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'rootbeer','8caf01a12b50cac2d19961f0d5c936f130fe7465','java','src/edu/syr/pcpratts/rootbeer/generate/bytecode/AbstractVisitorGen.java','False','False','readRefField','1','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'rootbeer','8caf01a12b50cac2d19961f0d5c936f130fe7465','java','src/edu/syr/pcpratts/rootbeer/generate/bytecode/GcHeapReadWriteAdder.java','False','False','add','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'rootbeer','8caf01a12b50cac2d19961f0d5c936f130fe7465','java','src/edu/syr/pcpratts/rootbeer/generate/bytecode/VisitorGen.java','False','False','VisitorGen','1','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'rootbeer','8caf01a12b50cac2d19961f0d5c936f130fe7465','java','src/edu/syr/pcpratts/rootbeer/generate/bytecode/VisitorGen.java','False','False','makeWriteToHeapMethod','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'rootbeer','8caf01a12b50cac2d19961f0d5c936f130fe7465','java','src/edu/syr/pcpratts/rootbeer/generate/bytecode/VisitorGen.java','False','False','makeReadFromHeapMethod','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'rootbeer','8caf01a12b50cac2d19961f0d5c936f130fe7465','java','src/edu/syr/pcpratts/rootbeer/generate/bytecode/VisitorGen.java','False','False','makeWriteStaticsToHeapMethod','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'rootbeer','8caf01a12b50cac2d19961f0d5c936f130fe7465','java','src/edu/syr/pcpratts/rootbeer/generate/bytecode/VisitorGen.java','False','False','makeReadStaticsFromHeapMethod','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'rootbeer','8caf01a12b50cac2d19961f0d5c936f130fe7465','java','src/edu/syr/pcpratts/rootbeer/generate/bytecode/VisitorReadGen.java','False','False','VisitorReadGen','1','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'rootbeer','8caf01a12b50cac2d19961f0d5c936f130fe7465','java','src/edu/syr/pcpratts/rootbeer/generate/bytecode/VisitorReadGen.java','False','False','doReader','2','9','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','11'
'rootbeer','8caf01a12b50cac2d19961f0d5c936f130fe7465','java','src/edu/syr/pcpratts/rootbeer/generate/bytecode/VisitorReadGenStatic.java','False','False','VisitorReadGenStatic','1','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'rootbeer','8caf01a12b50cac2d19961f0d5c936f130fe7465','java','src/edu/syr/pcpratts/rootbeer/generate/bytecode/VisitorReadGenStatic.java','False','False','attachReader','0','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','3'
'rootbeer','8caf01a12b50cac2d19961f0d5c936f130fe7465','java','src/edu/syr/pcpratts/rootbeer/generate/bytecode/VisitorWriteGen.java','False','False','VisitorWriteGen','1','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'rootbeer','8caf01a12b50cac2d19961f0d5c936f130fe7465','java','src/edu/syr/pcpratts/rootbeer/generate/bytecode/VisitorWriteGen.java','False','False','doWriter','1','6','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','8'
'rootbeer','8caf01a12b50cac2d19961f0d5c936f130fe7465','java','src/edu/syr/pcpratts/rootbeer/generate/bytecode/VisitorWriteGenStatic.java','False','False','VisitorWriteGenStatic','1','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'rootbeer','8caf01a12b50cac2d19961f0d5c936f130fe7465','java','src/edu/syr/pcpratts/rootbeer/generate/codesegment/MethodCodeSegment.java','False','False','MethodCodeSegment','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'rootbeer','8caf01a12b50cac2d19961f0d5c936f130fe7465','java','src/edu/syr/pcpratts/rootbeer/generate/codesegment/MethodCodeSegment.java','False','False','getReadWriteFieldInspector','0','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'rootbeer','8caf01a12b50cac2d19961f0d5c936f130fe7465','java','src/edu/syr/pcpratts/rootbeer/generate/opencl/OpenCLScene.java','False','False','methodPrototypesString','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
