project, sha, language, file_name, is_test,isExceptionPatch, method_name,total_add,total_del,while Adds,catch Dels,try Adds,try Dels,exception Dels,raise Adds,catch Adds,finally Dels,finally Adds,throw  Adds,for Dels,throw  Dels,for Adds,while Dels,exception Adds,raise Dels
'scribe-java','f000558883403da839df73b33796825a3c626c48','java','src/main/java/org/scribe/extractors/HeaderExtractorImpl.java','False','False','extract','7','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'scribe-java','d1274eb001b310b2d6674e42c096a32475b6559a','java','src/test/java/org/scribe/extractors/BaseStringExtractorTest.java','True','False','setup','5','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'scribe-java','d1274eb001b310b2d6674e42c096a32475b6559a','java','src/test/java/org/scribe/extractors/BaseStringExtractorTest.java','True','False','shouldExcludePort80','5','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'scribe-java','d1274eb001b310b2d6674e42c096a32475b6559a','java','src/test/java/org/scribe/extractors/BaseStringExtractorTest.java','True','False','shouldExcludePort80_2','5','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'scribe-java','d1274eb001b310b2d6674e42c096a32475b6559a','java','src/test/java/org/scribe/extractors/BaseStringExtractorTest.java','True','False','shouldIncludePort8080','5','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'scribe-java','d1274eb001b310b2d6674e42c096a32475b6559a','java','src/test/java/org/scribe/extractors/BaseStringExtractorTest.java','True','False','shouldExcludePort443','5','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'scribe-java','d1274eb001b310b2d6674e42c096a32475b6559a','java','src/test/java/org/scribe/extractors/BaseStringExtractorTest.java','True','False','shouldExcludePort443_2','5','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'scribe-java','86f12eb5bcc1059833c0b8b19d5eb0c2a1726eaa','java','src/main/java/org/scribe/oauth/OAuth10aServiceImpl.java','False','False','getSignature','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'scribe-java','86f12eb5bcc1059833c0b8b19d5eb0c2a1726eaa','java','src/main/java/org/scribe/services/HMACSha1SignatureService.java','False','False','bytesToBase64String','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'scribe-java','b3d83739980aa214bd93ed6c1a6a7ce4a4ce4077','java','src/main/java/org/scribe/services/HMACSha1SignatureService.java','False','False','doSign','2','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'scribe-java','b3d83739980aa214bd93ed6c1a6a7ce4a4ce4077','java','src/main/java/org/scribe/services/HMACSha1SignatureService.java','False','False','bytesToBase64String','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'scribe-java','b3d83739980aa214bd93ed6c1a6a7ce4a4ce4077','java','src/main/java/org/scribe/services/RSASha1SignatureService.java','False','False','getSignature','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'scribe-java','b3d83739980aa214bd93ed6c1a6a7ce4a4ce4077','java','src/main/java/org/scribe/services/RSASha1SignatureService.java','False','False','bytesToBase64String','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'scribe-java','b3d83739980aa214bd93ed6c1a6a7ce4a4ce4077','java','src/main/java/org/scribe/services/RSASha1SignatureService.java','False','False','NO_FUNC_CONTEXT','0','0','0','0','1','0'
'scribe-java','045914d2c0b1a049509fd9ddcdc77efff075985a','java','src/main/java/org/scribe/extractors/HeaderExtractorImpl.java','False','False','extract','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'scribe-java','28cd1740c1874627b58fe99f126a7cfb3d729a05','java','src/main/java/org/scribe/model/OAuthConstants.java','False','False','OAuthConstants','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'scribe-java','28cd1740c1874627b58fe99f126a7cfb3d729a05','java','src/main/java/org/scribe/utils/MapUtils.java','False','False','MapUtils','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'scribe-java','28cd1740c1874627b58fe99f126a7cfb3d729a05','java','src/main/java/org/scribe/utils/OAuthEncoder.java','False','False','OAuthEncoder','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'scribe-java','28cd1740c1874627b58fe99f126a7cfb3d729a05','java','src/main/java/org/scribe/utils/Preconditions.java','False','False','Preconditions','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'scribe-java','e0a13c80504cf052260b4ac6f64f9fbe53846edf','java','src/main/java/org/scribe/extractors/HeaderExtractorImpl.java','False','False','extract','2','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'scribe-java','e0a13c80504cf052260b4ac6f64f9fbe53846edf','java','src/main/java/org/scribe/model/Request.java','False','False','addPayload','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'scribe-java','e0a13c80504cf052260b4ac6f64f9fbe53846edf','java','src/main/java/org/scribe/services/HMACSha1SignatureService.java','False','False','doSign','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'scribe-java','e0a13c80504cf052260b4ac6f64f9fbe53846edf','java','src/main/java/org/scribe/services/RSASha1SignatureService.java','False','False','getSignature','2','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'scribe-java','9a99a44c5f5a7e557f0a4bfa5d64a2587947b590','java','src/main/java/org/scribe/model/Request.java','False','False','tune','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'scribe-java','9a99a44c5f5a7e557f0a4bfa5d64a2587947b590','java','src/main/java/org/scribe/model/Request.java','False','False','send','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'scribe-java','9a99a44c5f5a7e557f0a4bfa5d64a2587947b590','java','src/main/java/org/scribe/model/Request.java','False','False','send','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'scribe-java','9a99a44c5f5a7e557f0a4bfa5d64a2587947b590','java','src/main/java/org/scribe/model/Request.java','False','False','doSend','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'scribe-java','9a99a44c5f5a7e557f0a4bfa5d64a2587947b590','java','src/main/java/org/scribe/model/Request.java','False','False','NO_FUNC_CONTEXT','0','0','0','0','1','1'
'scribe-java','b129a2c04f3f36a378dc851b14cafad7dea8c245','java','src/main/java/org/scribe/builder/api/ConstantContactApi2.java','False','False','getAccessTokenExtractor','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'scribe-java','97fa26fce79f98d467edc1997b1a49df162bdb19','java','src/main/java/org/scribe/model/Token.java','False','False','isEmpty','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'scribe-java','97fa26fce79f98d467edc1997b1a49df162bdb19','java','src/main/java/org/scribe/model/Token.java','False','False','empty','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'scribe-java','d721204939523368794b62bd760e72ed15b40960','java','src/main/java/org/scribe/builder/api/EvernoteApi.java','False','False','getRequestTokenEndpoint','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'scribe-java','d721204939523368794b62bd760e72ed15b40960','java','src/main/java/org/scribe/builder/api/EvernoteApi.java','False','False','getAccessTokenEndpoint','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'scribe-java','d721204939523368794b62bd760e72ed15b40960','java','src/main/java/org/scribe/builder/api/EvernoteApi.java','False','False','getAuthorizationUrl','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'scribe-java','d721204939523368794b62bd760e72ed15b40960','java','src/main/java/org/scribe/builder/api/EvernoteApi.java','False','False','getAuthorizationUrl','1','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
