project, sha, language, file_name, is_test,isExceptionPatch, method_name,total_add,total_del,while Adds,catch Dels,try Adds,try Dels,exception Dels,raise Adds,catch Adds,finally Dels,finally Adds,throw  Adds,for Dels,throw  Dels,for Adds,while Dels,exception Adds,raise Dels
'springside4','d1e96f479ee873c4cadfff2c748821d14262dd34','java','examples/quickstart/src/test/java/org/springside/examples/quickstart/service/account/AccountServiceTest.java','True','False','deleteUser','1','1','0','0','1','0','1','1','0','0','0','0','0','0','0','0','0','0'
'springside4','d1e96f479ee873c4cadfff2c748821d14262dd34','java','examples/showcase/src/main/java/org/springside/examples/showcase/demos/utilities/validate/ValidateDemo.java','False','False','asserts','4','4','0','0','4','0','4','4','0','0','0','0','0','0','0','0','0','0'
'springside4','d1e96f479ee873c4cadfff2c748821d14262dd34','java','examples/showcase/src/test/java/org/springside/examples/showcase/service/AccountServiceTest.java','True','False','saveUser','1','1','0','0','1','0','1','1','0','0','0','0','0','0','0','0','0','0'
'springside4','d1e96f479ee873c4cadfff2c748821d14262dd34','java','modules/core/src/test/java/org/springside/modules/beanvalidator/BeanValidatorsTest.java','True','False','validateWithException','1','1','0','0','1','0','1','1','0','0','0','0','0','0','0','0','0','0'
'springside4','d1e96f479ee873c4cadfff2c748821d14262dd34','java','modules/core/src/test/java/org/springside/modules/utils/PropertiesLoaderTest.java','True','False','notExistProperty','1','1','0','0','1','0','1','1','0','0','0','0','0','0','0','0','0','0'
'springside4','d1e96f479ee873c4cadfff2c748821d14262dd34','java','modules/core/src/test/java/org/springside/modules/utils/PropertiesLoaderTest.java','True','False','integerDoubleAndBooleanProperty','2','2','0','0','2','0','2','2','0','0','0','0','0','0','0','0','0','0'
'springside4','f5c354dd3f341c27413aa1a9544109c6493e9c38','java','examples/showcase/src/main/java/org/springside/examples/showcase/demos/cache/ehcache/EhcacheDemo.java','False','False','demo','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'springside4','f5c354dd3f341c27413aa1a9544109c6493e9c38','java','examples/showcase/src/main/java/org/springside/examples/showcase/demos/cache/guava/GuavaCacheDemo.java','False','False','demo','6','6','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'springside4','f5c354dd3f341c27413aa1a9544109c6493e9c38','java','examples/showcase/src/main/java/org/springside/examples/showcase/demos/cache/memcached/MemcachedDemo.java','False','False','normal','2','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'springside4','f5c354dd3f341c27413aa1a9544109c6493e9c38','java','examples/showcase/src/main/java/org/springside/examples/showcase/demos/cache/memcached/MemcachedDemo.java','False','False','safeDelete','2','5','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
