project, sha, language, file_name, is_test,isExceptionPatch, method_name,total_add,total_del,while Adds,catch Dels,try Adds,try Dels,exception Dels,raise Adds,catch Adds,finally Dels,finally Adds,throw  Adds,for Dels,throw  Dels,for Adds,while Dels,exception Adds,raise Dels
'storm','b66d028f90e9376c16c0be1736411300d4bad587','java','storm-netty/src/jvm/backtype/storm/messaging/netty/Client.java','False','False','Client','5','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'storm','d96f4313598069c54d26b8627f9bf65dfe2f3fa7','java','storm-core/src/jvm/storm/trident/testing/LRUMemoryMapState.java','True','False','makeState','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'storm','98c98c7d4b24a9d45132c36bcbeaa9c1d8f0ad83','java','storm-netty/src/jvm/backtype/storm/messaging/netty/Client.java','False','False','close','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'storm','98c98c7d4b24a9d45132c36bcbeaa9c1d8f0ad83','java','storm-netty/src/jvm/backtype/storm/messaging/netty/Context.java','False','False','term','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'storm','7c50c367937ee98b21b3c203f3afb0e336acf755','java','storm-netty/src/jvm/backtype/storm/messaging/netty/ControlMessage.java','False','False','buffer','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'storm','c4f2b1e08af923318eb8735e0483927abe55ff73','java','storm-netty/src/jvm/backtype/storm/messaging/netty/Client.java','False','False','Client','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'storm','c4f2b1e08af923318eb8735e0483927abe55ff73','java','storm-netty/src/jvm/backtype/storm/messaging/netty/Client.java','False','False','takeMessages','1','1','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0'
'storm','c4f2b1e08af923318eb8735e0483927abe55ff73','java','storm-netty/src/jvm/backtype/storm/messaging/netty/Client.java','False','False','msgSize','1','5','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'storm','c4f2b1e08af923318eb8735e0483927abe55ff73','java','storm-netty/src/jvm/backtype/storm/messaging/netty/ControlMessage.java','False','False','encodeLength','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'storm','c4f2b1e08af923318eb8735e0483927abe55ff73','java','storm-netty/src/jvm/backtype/storm/messaging/netty/ControlMessage.java','False','False','buffer','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'storm','c4f2b1e08af923318eb8735e0483927abe55ff73','java','storm-netty/src/jvm/backtype/storm/messaging/netty/MessageEncoder.java','False','False','MessageEncoder','0','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'storm','c4f2b1e08af923318eb8735e0483927abe55ff73','java','storm-netty/src/jvm/backtype/storm/messaging/netty/MessageEncoder.java','False','False','encode','2','14','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'storm','c4f2b1e08af923318eb8735e0483927abe55ff73','java','storm-netty/src/jvm/backtype/storm/messaging/netty/MessageEncoder.java','False','False','writeTaskMessage','0','14','0','1','0','2','0','0','0','0','0','0','0','0','0','0','0','0'
'storm','c4f2b1e08af923318eb8735e0483927abe55ff73','java','storm-netty/src/jvm/backtype/storm/messaging/netty/Server.java','False','False','Server','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'storm','c4f2b1e08af923318eb8735e0483927abe55ff73','java','storm-netty/src/jvm/backtype/storm/messaging/netty/StormClientHandler.java','False','False','sendRequests','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'storm','c4f2b1e08af923318eb8735e0483927abe55ff73','java','storm-netty/src/jvm/backtype/storm/messaging/netty/StormClientPipelineFactory.java','False','False','StormClientPipelineFactory','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'storm','c4f2b1e08af923318eb8735e0483927abe55ff73','java','storm-netty/src/jvm/backtype/storm/messaging/netty/StormClientPipelineFactory.java','False','False','getPipeline','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'storm','2718142cb7d112bc0b91a8bf0dc249c60184c716','java','storm-netty/src/jvm/backtype/storm/messaging/netty/Client.java','False','False','close_n_release','2','6','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'storm','712d79deba284c9faa24a936c7753d875513d49f','java','storm-netty/src/jvm/backtype/storm/messaging/netty/Client.java','False','False','Client','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'storm','712d79deba284c9faa24a936c7753d875513d49f','java','storm-netty/src/jvm/backtype/storm/messaging/netty/Client.java','False','False','reconnect','1','1','0','0','0','0','1','1','0','0','0','0','0','0','0','0','0','0'
'storm','712d79deba284c9faa24a936c7753d875513d49f','java','storm-netty/src/jvm/backtype/storm/messaging/netty/Client.java','False','False','takeMessages','27','7','0','0','0','0','0','0','0','0','0','0','0','0','19','0','0','5'
'storm','712d79deba284c9faa24a936c7753d875513d49f','java','storm-netty/src/jvm/backtype/storm/messaging/netty/Client.java','False','False','msgSize','6','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'storm','712d79deba284c9faa24a936c7753d875513d49f','java','storm-netty/src/jvm/backtype/storm/messaging/netty/Client.java','False','False','close','2','15','0','0','0','0','1','1','0','0','0','0','0','0','0','0','0','0'
'storm','712d79deba284c9faa24a936c7753d875513d49f','java','storm-netty/src/jvm/backtype/storm/messaging/netty/Client.java','False','False','close_n_release','11','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'storm','712d79deba284c9faa24a936c7753d875513d49f','java','storm-netty/src/jvm/backtype/storm/messaging/netty/Client.java','False','False','setChannel','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'storm','712d79deba284c9faa24a936c7753d875513d49f','java','storm-netty/src/jvm/backtype/storm/messaging/netty/Context.java','False','False','prepare','1','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'storm','712d79deba284c9faa24a936c7753d875513d49f','java','storm-netty/src/jvm/backtype/storm/messaging/netty/Context.java','False','False','bind','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'storm','712d79deba284c9faa24a936c7753d875513d49f','java','storm-netty/src/jvm/backtype/storm/messaging/netty/Context.java','False','False','connect','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'storm','712d79deba284c9faa24a936c7753d875513d49f','java','storm-netty/src/jvm/backtype/storm/messaging/netty/Context.java','False','False','term','2','5','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','5'
'storm','712d79deba284c9faa24a936c7753d875513d49f','java','storm-netty/src/jvm/backtype/storm/messaging/netty/ControlMessage.java','False','False','okResponse','0','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'storm','712d79deba284c9faa24a936c7753d875513d49f','java','storm-netty/src/jvm/backtype/storm/messaging/netty/ControlMessage.java','False','False','failureResponse','0','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'storm','712d79deba284c9faa24a936c7753d875513d49f','java','storm-netty/src/jvm/backtype/storm/messaging/netty/ControlMessage.java','False','False','eobMessage','0','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'storm','712d79deba284c9faa24a936c7753d875513d49f','java','storm-netty/src/jvm/backtype/storm/messaging/netty/ControlMessage.java','False','False','closeMessage','0','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'storm','712d79deba284c9faa24a936c7753d875513d49f','java','storm-netty/src/jvm/backtype/storm/messaging/netty/ControlMessage.java','False','False','mkMessage','2','6','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0'
'storm','712d79deba284c9faa24a936c7753d875513d49f','java','storm-netty/src/jvm/backtype/storm/messaging/netty/ControlMessage.java','False','False','equals','0','6','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'storm','712d79deba284c9faa24a936c7753d875513d49f','java','storm-netty/src/jvm/backtype/storm/messaging/netty/ControlMessage.java','False','False','toString','0','9','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
